The Java Collection interface (java.util.Collection) is one of the root interfaces of the Java Collection API.,"(""[java.util.Collection"", ""is a"", ""Java Collection interface]"")"
Adding an element to a Collection is done via the add() method.,"(""Collection"", ""hasMethod"", ""add()"")"
"The add() method adds the given element to the collection, and returns true if the Collection changed as a result of calling the add() method.","(""Collection"", ""hasMethod"", ""add()""); (""add()"", ""returns"", ""boolean""); (""add()"", ""modifies"", ""Collection"")"
"On the other hand, if you called add() on a List and the List already contained that element, the element would then exist twice in the List.","(""List"", ""contains"", ""element""); (""List"", ""called"", ""add()""); (""element"", ""exists"", ""List"")"
"The remove() method removes the given element from the Collection and returns true if the removed element was present in the Collection, and was removed.","(""Collection"", ""hasMethod"", ""remove()""); (""remove()"", ""returns"", ""true""); (""remove()"", ""removes"", ""element""); (""element"", ""isPresentIn"", ""Collection""); (""element"", ""isRemovedBy"", ""remove()"")"
"If the element was not present, the remove() method returns false.","(""remove()"", ""returns"", ""false"")"
You can also add a collection of objects to a Java Collection using the addAll().,"(""Collection"", ""Method"", ""addAll()"")"
The Java Collection addAll() adds all elements found in the Collection passed as parameter to the method.,"(""Collection"", ""hasMethod"", ""addAll()"")"
"If you had called add() with the Collection as parameter instead, the Collection object itself would have been added, not its elements.","(""add()"", ""called"", ""Collection""); (""Collection"", ""added"", ""Collection"")"
Exactly how the addAll() method behaves depends on the Collection subtype.,"(""addAll()"", ""depends on"", ""Collection subtype"")"
The Java Collection removeAll() removes all elements found the Collection passed as parameter to the method.,"(""Collection"", ""Method"", ""removeAll()""); (""removeAll()"", ""Parameter"", ""Collection"")"
"contains() returns true if the collection contains the element, and false if not.",
"containsAll() returns true if the collection contains all the elements in the parameter collection, and false if not.",
You can check the size of a collection using the size() method.,"(""Collection"", ""hasMethod"", ""size()"")"
The Java Stream API provides a more functional programming approach to iterating and processing elements of e.g.,"(""Java Stream API"", ""provides"", ""functional programming approach"")"
You obtain a stream from a collection by calling the stream() method of the given collection.,"(""Collection"", ""Relationship"", ""stream()"")"
Then a Stream of strings is obtained by calling the items.stream() method.,"(""items"", ""stream"", ""Stream"")"
"This is similar to how you obtain an Iterator by calling the items.iterator() method, but a Stream is a different animal than an Iterator.","(""items"", ""method"", ""items.iterator()""); (""Iterator"", ""is similar to"", ""Stream"")"
The Predicate interface contains a function called test() which the lambda expression passed as parameter above is matched against.,"(""Predicate"", ""contains"", ""test()"")"
"If you look at the lambda expression above, you can see that it takes a single parameter item and returns a boolean - the result of the item.startsWith(""o"") method call.","(""Item"", ""Method"", ""item.startsWith()"")"
"When you call the filter() method on a Stream, the filter passed as parameter to the filter() method is stored internally.","(""Stream"", ""hasMethod"", ""filter()""); (""filter()"", ""hasParameter"", ""filter""); (""filter()"", ""isStoredInternally"", ""Stream"")"
