The Java Collection interface (java.util.Collection) is one of the root interfaces of the Java Collection API.,"(""[java.util.Collection"", ""is a"", ""Interface]"")"
Adding an element to a Collection is done via the add() method.,"(""Collection"", ""has_method"", ""add()"")"
"The add() method adds the given element to the collection, and returns true if the Collection changed as a result of calling the add() method.","(""Collection"", ""has_method"", ""add()""); (""add()"", ""modifies"", ""Collection"")"
"On the other hand, if you called add() on a List and the List already contained that element, the element would then exist twice in the List.","(""List"", ""hasMethod"", ""add()"")"
"The remove() method removes the given element from the Collection and returns true if the removed element was present in the Collection, and was removed.","(""Collection"", ""method"", ""remove()"")"
"If the element was not present, the remove() method returns false.","(""`remove()`"", ""returns"", ""`false`""); (""`remove()`"", ""returns"", ""`false`"")"
You can also add a collection of objects to a Java Collection using the addAll().,"(""Collection"", ""hasMethod"", ""addAll()""); (""Collection"", ""hasMethod"", ""addAll()"")"
The Java Collection addAll() adds all elements found in the Collection passed as parameter to the method.,"(""Collection"", ""addAll()"", ""elements"")"
"If you had called add() with the Collection as parameter instead, the Collection object itself would have been added, not its elements.","(""Collection"", ""parameter of"", ""add()"")"
Exactly how the addAll() method behaves depends on the Collection subtype.,"(""addAll()"", ""belongs to"", ""Collection"")"
The Java Collection removeAll() removes all elements found the Collection passed as parameter to the method.,"(""Collection"", ""method"", ""removeAll()"")"
"contains() returns true if the collection contains the element, and false if not.",
"containsAll() returns true if the collection contains all the elements in the parameter collection, and false if not.","(""Collection"", ""containsAll()"", ""Collection"")"
You can check the size of a collection using the size() method.,"(""`Collection`"", ""`hasMethod`"", ""`size()`""); (""`Collection`"", ""`hasMethod`"", ""`size()`"")"
The Java Stream API provides a more functional programming approach to iterating and processing elements of e.g.,
You obtain a stream from a collection by calling the stream() method of the given collection.,"(""Collection"", ""hasMethod"", ""stream()"")"
Then a Stream of strings is obtained by calling the items.stream() method.,"(""items"", ""hasMethod"", ""stream()"")"
"This is similar to how you obtain an Iterator by calling the items.iterator() method, but a Stream is a different animal than an Iterator.","(""items"", ""has_method"", ""iterator()"")"
The Predicate interface contains a function called test() which the lambda expression passed as parameter above is matched against.,"(""Predicate"", ""contains"", ""test()"")"
"If you look at the lambda expression above, you can see that it takes a single parameter item and returns a boolean - the result of the item.startsWith(""o"") method call.","(""item"", ""method"", ""startsWith()"")"
"When you call the filter() method on a Stream, the filter passed as parameter to the filter() method is stored internally.","(""Stream"", ""has_method"", ""filter()""); (""filter()"", ""takes_parameter"", ""filter"")"
"The parameter passed to the filter() function determines what items in the stream should be processed, and which that should be excluded from the processing.",
"If the Predicate.test() method of the parameter passed to filter() returns true for an item, that means it should be processed.","(""Predicate"", ""has_method"", ""test()""); (""filter()"", ""takes_parameter"", ""Predicate"")"
The collect() method is one of the stream processing methods on the Stream interface.,"(""Stream"", ""hasMethod"", ""collect()"")"
"The min() and max() methods return an Optional instance which has a get() method on, which you use to obtain the value.","(""Optional"", ""has_method"", ""get()"")"
In case the stream has no elements the get() method will return null.,"(""`Stream`"", ""`has method`"", ""`get()`""); (""`Stream`"", ""`has method`"", ""`get()`"")"
The Comparator.comparing() method creates a Comparator based on the lambda expression passed to it.,"(""Comparator"", ""hasMethod"", ""comparing()"")"
"In fact, the comparing() method takes a Function which is a functional interface suited for lambda expressions.","(""`comparing()`"", ""takes"", ""`Function`""); (""`comparing()`"", ""takes"", ""`Function`"")"
The count() method simply returns the number of elements in the stream after filtering has been applied.,
