The Java Collection interface (java.util.Collection) is one of the root interfaces of the Java Collection API.,"(""[java.util.Collection"", ""is one of"", ""root interfaces]""); (""[java.util.Collection"", ""is part of"", ""Java Collection API]"")"
Adding an element to a Collection is done via the add() method.,"(""Collection"", ""method"", ""add()"")"
"The add() method adds the given element to the collection, and returns true if the Collection changed as a result of calling the add() method.","(""Collection"", ""method"", ""add()"")"
"On the other hand, if you called add() on a List and the List already contained that element, the element would then exist twice in the List.","(""List"", ""method"", ""add()"")"
"The remove() method removes the given element from the Collection and returns true if the removed element was present in the Collection, and was removed.","(""Collection"", ""method"", ""remove()"")"
"If the element was not present, the remove() method returns false.","(""remove()"", ""returns"", ""false"")"
You can also add a collection of objects to a Java Collection using the addAll().,"(""Collection"", ""method"", ""addAll()"")"
The Java Collection addAll() adds all elements found in the Collection passed as parameter to the method.,"(""Collection"", ""method"", ""Collection.addAll()"")"
"If you had called add() with the Collection as parameter instead, the Collection object itself would have been added, not its elements.",
Exactly how the addAll() method behaves depends on the Collection subtype.,"(""Collection"", ""method"", ""addAll()"")"
The Java Collection removeAll() removes all elements found the Collection passed as parameter to the method.,"(""Collection"", ""method"", ""removeAll()"")"
"contains() returns true if the collection contains the element, and false if not.","(""Collection"", ""contains()"", ""Element"")"
"containsAll() returns true if the collection contains all the elements in the parameter collection, and false if not.","(""Collection"", ""containsAll()"", ""Collection"")"
You can check the size of a collection using the size() method.,"(""collection"", ""hasMethod"", ""size()"")"
The Java Stream API provides a more functional programming approach to iterating and processing elements of e.g.,
You obtain a stream from a collection by calling the stream() method of the given collection.,"(""Collection"", ""method"", ""Collection.stream()"")"
Then a Stream of strings is obtained by calling the items.stream() method.,"(""items"", ""method"", ""items.stream()"")"
"This is similar to how you obtain an Iterator by calling the items.iterator() method, but a Stream is a different animal than an Iterator.","(""items"", ""method"", ""iterator()""); (""Stream"", ""different animal than"", ""Iterator"")"
The Predicate interface contains a function called test() which the lambda expression passed as parameter above is matched against.,"(""Predicate"", ""contains"", ""Predicate.test()"")"
"If you look at the lambda expression above, you can see that it takes a single parameter item and returns a boolean - the result of the item.startsWith(""o"") method call.","(""item"", ""method call"", ""item.startsWith()"")"
"When you call the filter() method on a Stream, the filter passed as parameter to the filter() method is stored internally.","(""Stream"", ""method"", ""Stream.filter()"")"
"The parameter passed to the filter() function determines what items in the stream should be processed, and which that should be excluded from the processing.","(""filter()"", ""determines"", ""items"")"
"If the Predicate.test() method of the parameter passed to filter() returns true for an item, that means it should be processed.","(""Predicate"", ""method"", ""Predicate.test()""); (""parameter"", ""method"", ""filter()"")"
The collect() method is one of the stream processing methods on the Stream interface.,"(""Stream"", ""method"", ""collect()""); (""Stream"", ""interface"", ""collect()"")"
"The min() and max() methods return an Optional instance which has a get() method on, which you use to obtain the value.","(""min()"", ""return"", ""Optional""); (""max()"", ""return"", ""Optional""); (""Optional"", ""has"", ""get()"")"
In case the stream has no elements the get() method will return null.,"(""get()"", ""Method"", ""return"")"
The Comparator.comparing() method creates a Comparator based on the lambda expression passed to it.,"(""Comparator"", ""creates"", ""Comparator.comparing()"")"
"In fact, the comparing() method takes a Function which is a functional interface suited for lambda expressions.","(""comparing()"", ""takes"", ""Function"")"
The count() method simply returns the number of elements in the stream after filtering has been applied.,"(""count()"", ""returns"", ""number of elements"")"
The count() method returns a long which is the count of elements in the stream after filtering etc.,"(""UnknownEntity"", ""method"", ""count()"")"
The reduce() method can reduce the elements of a stream to a single value.,"(""stream"", ""method"", ""reduce()"")"
"The reduce() method takes a BinaryOperator as parameter, which can easily be implemented using a lambda expression.","(""reduce()"", ""takes"", ""BinaryOperator"")"
The BinaryOperator.apply() method is the method implemented by the lambda expression above.,"(""BinaryOperator"", ""method"", ""BinaryOperator.apply()"")"
"Thus, the value created by the reduce() function is the accumulated value after processing the last element in the stream.","(""reduce()"", ""function"", ""stream"")"
The reduce() method taking a BinaryOperator as parameter returns an Optional .,"(""reduce()"", ""takes"", ""BinaryOperator""); (""reduce()"", ""returns"", ""Optional"")"
"In case the stream contains no elements, the Optional.get() returns null.","(""Optional"", ""method"", ""Optional.get()"")"
"This version of the reduce() method returns the accumulated value directly, and not an Optional.",
The reduce() method can be combined with the filter() method too.,"(""reduce()"", ""combined with"", ""filter()"")"
"The Java Collections class, java.util.Collections, contains a long list of utility methods for working with collections in Java.","(""Java Collections"", ""contains"", ""utility methods""); (""java.util.Collections"", ""contains"", ""utility methods"")"
The Java Collections addAll() method can add a variable number of elements to a Collection (typically either a List or a Set .,"(""Java Collections"", ""method"", ""addAll()""); (""addAll()"", ""add"", ""elements""); (""elements"", ""belong to"", ""Collection""); (""Collection"", ""is a"", ""List""); (""Collection"", ""is a"", ""Set"")"
Here is a java code example of calling the Collections addAll() method:,
The Collections binarySearch() method can search a Java List for an element using a binary search algorithm.,"(""Collections"", ""method"", ""binarySearch()""); (""List"", ""method"", ""binarySearch()"")"
The List must be sorted in ascending order before you search it using binarySearch() .,"(""List"", ""must be sorted before"", ""binarySearch()"")"
Here is an example of searching a List using the Collections binarySearch() method:,"(""List"", ""method"", ""Collections.binarySearch()"")"
The Collections copy() method can copy all elements of a List into another List.,"(""Collections"", ""hasMethod"", ""copy()""); (""copy()"", ""operatesOn"", ""List"")"
Here is a Java example of calling the Collections copy() method:,"(""Collections"", ""method"", ""copy()"")"
The Collections reverse() method can reverse the elements in a Java List.,"(""Collections"", ""method"", ""Collections.reverse()""); (""Collections.reverse()"", ""acts_on"", ""List"")"
The Collections shuffle() method can shuffle the elements of a List.,"(""Collections"", ""method"", ""shuffle()""); (""List"", ""hasMethod"", ""shuffle()"")"
Here is an example of shuffling a list with the Collections shuffle() method:,"(""Collections"", ""method"", ""shuffle()"")"
