relation,description,synonyms,examples
part of,ownership or stake relationship,"has stake, has stake in, holds stake, ownership, part of","(organization,part of,segment);(organization,part of,external company);(organization,part of,instrument)"
announces,publicly communicates or declares something,"announce, announces, declare, declares, publicize","(organization,announces,product);(organization,announces,event);(organization,announces,esg topic);(organization,announces,accounting policy);(organization,announces,segment)"
operate,has operational presence in a place,"active in, does business in, operate, operates in","(organization,operate,location);(external company,operate,location)"
introduce,brings in or launches something new,"implement, introduce, introduces, launch, launches","(organization,introduce,product);(organization,introduce,accounting policy);(organization,introduce,segment);(organization,introduce,esg topic)"
produce,manufactures, develops, or provides a product,"develop, make, produce, produces","(organization,produce,product);(external company,produce,product)"
regulates,exerts regulatory control or oversight,"govern, regulate, regulates, supervise","(regulator,regulates,organization);(regulator,regulates,external company);(government,regulates,organization)"
involved in,participates in or is associated with an event or litigation,"associated with, involved in, participates in, takes part in","(organization,involved in,event);(external company,involved in,event);(person,involved in,event);(organization,involved in,litigation);(external company,involved in,litigation);(regulator,involved in,litigation)"
affected by,receives impact from an event or condition,"affected by, impacted by, influenced by","(organization,affected by,event);(external company,affected by,event);(segment,affected by,event);(product,affected by,event);(market,affected by,event)"
affects,causes influence on a metric or market,"affect, affects, impact, impacts, influence","(event,affects,metric);(macro condition,affects,metric);(economic indicator,affects,metric);(risk factor,affects,metric);(esg topic,affects,metric);(accounting policy,affects,metric);(regulation,affects,metric);(litigation,affects,metric);(event,affects,market);(macro condition,affects,market);(economic indicator,affects,market);(risk factor,affects,market)"
boosts,improves or increases performance/outcome,"boost, boosts, improve, improves, increase, increases, raise, raises","(esg topic,boosts,metric);(concept,boosts,metric);(event,boosts,metric);(macro condition,boosts,metric);(organization,boosts,metric);(external company,boosts,metric)"
hurts,worsens or decreases performance/outcome,"decrease, decreases, hurt, hurts, worsen, worsens, lower, lowers","(risk factor,hurts,metric);(litigation,hurts,metric);(macro condition,hurts,metric);(event,hurts,metric);(organization,hurts,metric);(external company,hurts,metric)"
related to,general semantic or business association,"associated with, connected to, related to","(organization,related to,external company);(organization,related to,sector);(organization,related to,concept);(external company,related to,sector);(product,related to,concept);(risk factor,related to,macro condition);(esg topic,related to,concept);(event,related to,macro condition)"
invests in,makes investment in an entity, topic, or product,"acquires stake in, invest, invests in, investment in","(organization,invests in,external company);(organization,invests in,product);(organization,invests in,esg topic);(organization,invests in,segment)"
relies on,depends on a resource, logistics channel, or external entity,"depend on, depends on, rely on, relies on, requires","(organization,relies on,raw material);(organization,relies on,logistics);(organization,relies on,external company);(segment,relies on,raw material);(segment,relies on,logistics)"
affects stock,influences stock performance,"affects stock, impacts stock, moves stock","(risk factor,affects stock,organization);(event,affects stock,organization);(macro condition,affects stock,organization);(economic indicator,affects stock,organization)"
moves stock,causes stock price movement upward or downward,"move stock, moves stock, stock decline due to, stock rise due to, stockdown, stockup","(macro condition,moves stock,organization);(risk factor,moves stock,organization);(litigation,moves stock,organization);(event,moves stock,organization);(esg topic,moves stock,organization);(concept,moves stock,organization)"
market responds to,describes how a market reacts to an event or condition,"market reacts to, market responds to, reacts to","(market,market responds to,event);(market,market responds to,macro condition);(market,market responds to,economic indicator);(market,market responds to,esg topic);(market,market responds to,risk factor)"
reports,discloses or reports information,"disclose, discloses, report, reports, reveals","(organization,reports,metric);(organization,reports,risk factor);(organization,reports,esg topic);(organization,reports,accounting policy);(organization,reports,litigation);(organization,reports,segment);(organization,reports,macro condition);(organization,reports,economic indicator);(external company,reports,metric)"
faces,encounters litigation, regulation, or other adverse conditions,"confronts, encounters, faces","(organization,faces,litigation);(organization,faces,regulation);(external company,faces,litigation);(external company,faces,regulation)"
comments on,provides guidance or commentary about something,"comment on, comments on, guide, guides on, commentary on","(commentary,comments on,metric);(commentary,comments on,macro condition);(commentary,comments on,economic indicator);(commentary,comments on,esg topic)"
under rule,is governed by, subject to, or compliant with a rule or policy,"complies with, compliant with, follows, governed by, subject to, under, under rule","(organization,under rule,regulation);(external company,under rule,regulation);(organization,under rule,accounting policy);(segment,under rule,accounting policy)"
supplies,provides raw materials, products, or logistics,"provide, provides, supply, supplies","(external company,supplies,raw material);(external company,supplies,product);(external company,supplies,logistics)"
works with,has a partnership or collaboration relationship,"collaborates with, partners with, works with","(organization,works with,external company);(external company,works with,external company);(regulator,works with,organization)"
causes_shortage,supply constraint driven by event/condition,"causes_shortage_of, triggers_shortage_of","(event,causes_shortage,raw_material)"
member_of,affiliation or index membership,"member_of, constituent_of, partof, inclusion","(external_company,member_of,market)"
