Entity1,Relation,Entity2
organization,has_stake,segment
organization,has_stake,external_company
organization,has_stake,instrument

organization,announces,product
organization,announces,event
organization,announces,esg_topic
organization,announces,accounting_policy
organization,announces,segment

organization,operates_in,location
external_company,operates_in,location

organization,introduces,product
organization,introduces,accounting_policy
organization,introduces,segment
organization,introduces,esg_topic

organization,produces,product
external_company,produces,product

regulator,regulates,organization
regulator,regulates,external_company
government,regulates,organization

organization,involved_in,event
external_company,involved_in,event
person,involved_in,event
organization,involved_in,litigation
external_company,involved_in,litigation
regulator,involved_in,litigation

organization,impacted_by,event
external_company,impacted_by,event
segment,impacted_by,event
product,impacted_by,event
market,impacted_by,event

event,impacts,metric
macro_condition,impacts,metric
economic_indicator,impacts,metric
risk_factor,impacts,metric
esg_topic,impacts,metric
accounting_policy,impacts,metric
regulation,impacts,metric
litigation,impacts,metric
event,impacts,market
macro_condition,impacts,market
economic_indicator,impacts,market
risk_factor,impacts,market

esg_topic,improves,metric
concept,improves,metric
event,improves,metric
macro_condition,improves,metric

risk_factor,worsens,metric
litigation,worsens,metric
macro_condition,worsens,metric
event,worsens,metric

organization,related_to,external_company
organization,related_to,sector
organization,related_to,concept
external_company,related_to,sector
product,related_to,concept
risk_factor,related_to,macro_condition
esg_topic,related_to,concept
event,related_to,macro_condition

external_company,member_of,market
organization,member_of,market
instrument,member_of,market

organization,invests_in,external_company
organization,invests_in,product
organization,invests_in,esg_topic
organization,invests_in,segment

organization,increases,metric
organization,decreases,metric
external_company,increases,metric
external_company,decreases,metric

organization,depends_on,raw_material
organization,depends_on,logistics
organization,depends_on,external_company
segment,depends_on,raw_material
segment,depends_on,logistics

event,causes_shortage,raw_material
macro_condition,causes_shortage,raw_material
logistics,causes_shortage,raw_material

risk_factor,affects_stock,organization
event,affects_stock,organization
macro_condition,affects_stock,organization
economic_indicator,affects_stock,organization

macro_condition,stock_decline_due_to,organization
risk_factor,stock_decline_due_to,organization
litigation,stock_decline_due_to,organization
event,stock_decline_due_to,organization

esg_topic,stock_rise_due_to,organization
event,stock_rise_due_to,organization
concept,stock_rise_due_to,organization

market,market_reacts_to,event
market,market_reacts_to,macro_condition
market,market_reacts_to,economic_indicator
market,market_reacts_to,esg_topic
market,market_reacts_to,risk_factor

organization,discloses,metric
organization,discloses,risk_factor
organization,discloses,esg_topic
organization,discloses,accounting_policy
organization,discloses,litigation
organization,discloses,segment
organization,discloses,macro_condition
organization,discloses,economic_indicator
external_company,discloses,metric

organization,faces,litigation
organization,faces,regulation
external_company,faces,litigation
external_company,faces,regulation

commentary,guides_on,metric
commentary,guides_on,macro_condition
commentary,guides_on,economic_indicator
commentary,guides_on,esg_topic

organization,complies_with,regulation
external_company,complies_with,regulation

organization,subject_to,accounting_policy
organization,subject_to,regulation
external_company,subject_to,regulation
segment,subject_to,accounting_policy

external_company,supplies,raw_material
external_company,supplies,product
external_company,supplies,logistics

organization,partners_with,external_company
external_company,partners_with,external_company
regulator,partners_with,organization
