Entity1,Relation,Entity2
accounting_policy,complies_with,accounting_policy
accounting_policy,complies_with,organization
accounting_policy,complies_with,regulation
accounting_policy,decreases,accounting_policy
accounting_policy,depends_on,accounting_policy
accounting_policy,depends_on,instrument
accounting_policy,discloses,accounting_policy
accounting_policy,impacted_by,accounting_policy
accounting_policy,impacted_by,economic_indicator
accounting_policy,impacted_by,government
accounting_policy,impacted_by,regulation
accounting_policy,impacted_by,segment
accounting_policy,impacts,accounting_policy
accounting_policy,impacts,metric
accounting_policy,impacts,regulation
accounting_policy,increases,accounting_policy
accounting_policy,operates_in,location
accounting_policy,operates_in,logistics
accounting_policy,related_to,accounting_policy
accounting_policy,related_to,commentary
accounting_policy,related_to,concept
accounting_policy,related_to,economic_indicator
accounting_policy,related_to,event
accounting_policy,related_to,instrument
accounting_policy,related_to,location
accounting_policy,related_to,metric
accounting_policy,related_to,organization
accounting_policy,related_to,product
accounting_policy,related_to,regulation
accounting_policy,related_to,risk_factor
accounting_policy,related_to,segment
accounting_policy,subject_to,accounting_policy
accounting_policy,subject_to,location
accounting_policy,subject_to,regulation
commentary,depends_on,instrument
commentary,depends_on,metric
commentary,discloses,accounting_policy
commentary,discloses,regulation
commentary,guides_on,economic_indicator
commentary,guides_on,esg_topic
commentary,guides_on,macro_condition
commentary,guides_on,metric
commentary,impacts,metric
commentary,related_to,accounting_policy
commentary,related_to,commentary
commentary,related_to,litigation
commentary,related_to,organization
commentary,related_to,regulation
commentary,related_to,risk_factor
commentary,related_to,segment
concept,complies_with,regulation
concept,decreases,concept
concept,decreases,regulation
concept,depends_on,concept
concept,depends_on,economic_indicator
concept,depends_on,esg_topic
concept,depends_on,event
concept,depends_on,external_company
concept,depends_on,instrument
concept,depends_on,logistics
concept,depends_on,macro_condition
concept,depends_on,market
concept,depends_on,metric
concept,depends_on,person
concept,depends_on,product
concept,depends_on,raw_material
concept,depends_on,regulation
concept,depends_on,regulator
concept,depends_on,risk_factor
concept,depends_on,sector
concept,depends_on,segment
concept,discloses,commentary
concept,impacted_by,concept
concept,impacted_by,economic_indicator
concept,impacted_by,esg_topic
concept,impacted_by,event
concept,impacted_by,instrument
concept,impacted_by,litigation
concept,impacted_by,location
concept,impacted_by,logistics
concept,impacted_by,macro_condition
concept,impacted_by,person
concept,impacted_by,product
concept,impacted_by,raw_material
concept,impacted_by,regulation
concept,impacts,concept
concept,impacts,external_company
concept,impacts,instrument
concept,impacts,litigation
concept,impacts,metric
concept,impacts,organization
concept,impacts,person
concept,impacts,product
concept,impacts,risk_factor
concept,improves,metric
concept,improves,product
concept,introduces,product
concept,invests_in,concept
concept,invests_in,organization
concept,invests_in,product
concept,operates_in,logistics
concept,operates_in,product
concept,produces,product
concept,related_to,accounting_policy
concept,related_to,commentary
concept,related_to,concept
concept,related_to,economic_indicator
concept,related_to,esg_topic
concept,related_to,event
concept,related_to,external_company
concept,related_to,government
concept,related_to,instrument
concept,related_to,litigation
concept,related_to,location
concept,related_to,logistics
concept,related_to,macro_condition
concept,related_to,market
concept,related_to,metric
concept,related_to,organization
concept,related_to,person
concept,related_to,product
concept,related_to,regulation
concept,related_to,risk_factor
concept,related_to,segment
concept,stock_rise_due_to,organization
concept,subject_to,concept
concept,subject_to,esg_topic
concept,subject_to,external_company
concept,subject_to,government
concept,subject_to,location
concept,subject_to,organization
concept,subject_to,product
concept,subject_to,regulation
concept,subject_to,risk_factor
economic_indicator,affects_stock,organization
economic_indicator,depends_on,economic_indicator
economic_indicator,impacts,location
economic_indicator,impacts,market
economic_indicator,impacts,metric
economic_indicator,impacts,organization
economic_indicator,impacts,risk_factor
economic_indicator,related_to,accounting_policy
economic_indicator,related_to,economic_indicator
economic_indicator,related_to,instrument
economic_indicator,related_to,risk_factor
esg_topic,impacts,metric
esg_topic,improves,metric
esg_topic,related_to,concept
esg_topic,related_to,esg_topic
esg_topic,related_to,litigation
esg_topic,related_to,risk_factor
esg_topic,stock_rise_due_to,organization
event,affects_stock,organization
event,causes_shortage,raw_material
event,complies_with,regulation
event,depends_on,event
event,discloses,accounting_policy
event,discloses,economic_indicator
event,discloses,event
event,discloses,instrument
event,discloses,litigation
event,discloses,macro_condition
event,discloses,metric
event,discloses,product
event,discloses,segment
event,impacted_by,macro_condition
event,impacts,accounting_policy
event,impacts,government
