The Java Collection interface (java.util.Collection) is one of the root interfaces of the Java Collection API.,"(""Collection interface"", ""The Collection interface is a component of the java.util package."", ""java.util"")"
Adding an element to a Collection is done via the add() method.,NULL
"The add() method adds the given element to the collection, and returns true if the Collection changed as a result of calling the add() method.",NULL
"On the other hand, if you called add() on a List and the List already contained that element, the element would then exist twice in the List.","(""Add"", ""The method 'Add' is invoked on the class 'List' to add an element."", ""List"")"
"The remove() method removes the given element from the Collection and returns true if the removed element was present in the Collection, and was removed.",NULL
"If the element was not present, the remove() method returns false.","(""Remove"", ""The remove method returns false if the element was not present."", ""false"")"
You can also add a collection of objects to a Java Collection using the addAll().,"(""Java Collection"", ""The method 'addAll' is used to add a collection of objects to an instance of 'Java Collection'."", ""addAll"")"
The Java Collection addAll() adds all elements found in the Collection passed as parameter to the method.,NULL
"If you had called add() with the Collection as parameter instead, the Collection object itself would have been added, not its elements.","(""Add"", ""The method 'add()' is invoked with 'Collection' as a parameter, indicating a use relationship."", ""Collection"")"
Exactly how the addAll() method behaves depends on the Collection subtype.,"(""AddAll"", ""The addAll method is defined or operates on the Collection class or its subtype."", ""Collection""); (""AddAll"", ""The addAll method is defined or operates on the Collection class or its subtype."", ""Collection"")"
The Java Collection removeAll() removes all elements found the Collection passed as parameter to the method.,NULL
"contains() returns true if the collection contains the element, and false if not.",NULL
"containsAll() returns true if the collection contains all the elements in the parameter collection, and false if not.",NULL
You can check the size of a collection using the size() method.,"(""Size"", ""The 'size' method is used to check the size of a 'collection', indicating a direct functional relationship."", ""Collection"")"
The Java Stream API provides a more functional programming approach to iterating and processing elements of e.g.,NULL
You obtain a stream from a collection by calling the stream() method of the given collection.,NULL
Then a Stream of strings is obtained by calling the items.stream() method.,NULL
"This is similar to how you obtain an Iterator by calling the items.iterator() method, but a Stream is a different animal than an Iterator.",NULL
The Predicate interface contains a function called test() which the lambda expression passed as parameter above is matched against.,"(""Predicate"", ""The Predicate interface defines a method named test() that can be implemented."", ""test""); (""test"", ""The test() method is utilized by lambda expressions as parameters to evaluate conditions."", ""lambda expression"")"
"If you look at the lambda expression above, you can see that it takes a single parameter item and returns a boolean - the result of the item.startsWith(""o"") method call.","(""Item"", ""Item is the class on which the method StartsWith is invoked."", ""Item.StartsWith""); (""Item"", ""Item is the class on which the method StartsWith is invoked."", ""Item.StartsWith"")"
"When you call the filter() method on a Stream, the filter passed as parameter to the filter() method is stored internally.","(""Filter"", ""The filter() method is called on a Stream, indicating that the method is associated with the Stream class."", ""Stream"")"
"The parameter passed to the filter() function determines what items in the stream should be processed, and which that should be excluded from the processing.",NULL
"If the Predicate.test() method of the parameter passed to filter() returns true for an item, that means it should be processed.","(""Predicate"", ""The test method belongs to the Predicate class as indicated by Predicate.test() notation."", ""test""); (""filter"", ""The test method is used as a parameter within the filter method, linking their functionality."", ""test"")"
The collect() method is one of the stream processing methods on the Stream interface.,NULL
"The min() and max() methods return an Optional instance which has a get() method on, which you use to obtain the value.","(""Min"", ""The min() method returns an Optional instance, indicating that their relationship is based on the method's return type."", ""Optional""); (""Max"", ""The max() method returns an Optional instance, indicating that their relationship is based on the method's return type."", ""Optional""); (""Optional"", ""The get() method is used on an Optional instance to obtain the value, indicating a method belonging to the class."", ""Get"")"
In case the stream has no elements the get() method will return null.,NULL
The Comparator.comparing() method creates a Comparator based on the lambda expression passed to it.,"(""Comparator"", ""The comparing() method is used in conjunction with the Comparator class to create a Comparator."", ""comparing()"")"
"In fact, the comparing() method takes a Function which is a functional interface suited for lambda expressions.",NULL
The count() method simply returns the number of elements in the stream after filtering has been applied.,"(""Count"", ""The Count method is used to return the number of elements in the stream."", ""Stream"")"
The count() method returns a long which is the count of elements in the stream after filtering etc.,NULL
The reduce() method can reduce the elements of a stream to a single value.,"(""Reduce"", ""The reduce method is a function that operates on the elements of a stream."", ""Stream"")"
"The reduce() method takes a BinaryOperator as parameter, which can easily be implemented using a lambda expression.","(""Reduce"", ""The Reduce method takes a BinaryOperator as a parameter."", ""BinaryOperator"")"
The BinaryOperator.apply() method is the method implemented by the lambda expression above.,"(""BinaryOperator"", ""The apply() method is part of the BinaryOperator class as indicated by the dot notation, which is typical for class methods."", ""apply()"")"
"Thus, the value created by the reduce() function is the accumulated value after processing the last element in the stream.","(""Reduce"", ""The reduce() method operates on elements of a stream to produce a single aggregated value."", ""Stream"")"
The reduce() method taking a BinaryOperator as parameter returns an Optional .,"(""Reduce"", ""The reduce() method takes a BinaryOperator as a parameter"", ""BinaryOperator""); (""Reduce"", ""The reduce() method returns an Optional"", ""Optional""); (""Reduce"", ""The reduce() method takes a BinaryOperator as a parameter"", ""BinaryOperator""); (""Reduce"", ""The reduce() method returns an Optional"", ""Optional"")"
