Original Text,NULL
The Java Collection interface (java.util.Collection) is one of the root interfaces of the Java Collection API.,"(""Java Collection"", ""The Java Collection interface is part of the Java Collection API"", ""Java Collection API""); (""java.util.Collection"", ""The java.util.Collection is part of the Java Collection API"", ""Java Collection API"")"
Adding an element to a Collection is done via the add() method.,NULL
"The add() method adds the given element to the collection, and returns true if the Collection changed as a result of calling the add() method.","(""Add"", ""The add() method is related to the Collection class because it is used to add an element to the collection."", ""Collection"")"
"On the other hand, if you called add() on a List and the List already contained that element, the element would then exist twice in the List.","(""List"", ""The List class has a method called add(), which suggests a relationship between the two entities."", ""add()"")"
"The remove() method removes the given element from the Collection and returns true if the removed element was present in the Collection, and was removed.",NULL
"If the element was not present, the remove() method returns false.",NULL
You can also add a collection of objects to a Java Collection using the addAll().,NULL
The Java Collection addAll() adds all elements found in the Collection passed as parameter to the method.,"(""Java"", ""Java is related to Collection because it is the programming language in which the Collection class is used"", ""Collection""); (""Collection"", ""Collection is related to addAll() because addAll() is a method of the Collection class"", ""addAll()"")"
"If you had called add() with the Collection as parameter instead, the Collection object itself would have been added, not its elements.",NULL
Exactly how the addAll() method behaves depends on the Collection subtype.,NULL
The Java Collection removeAll() removes all elements found the Collection passed as parameter to the method.,"(""removeAll()"", ""The removeAll() method is related to the Collection class because it is used to remove elements from the Collection."", ""Collection""); (""Java"", ""The Java package is related to the Collection class because Collection is part of the Java Collection framework."", ""Collection"")"
"contains() returns true if the collection contains the element, and false if not.",NULL
"containsAll() returns true if the collection contains all the elements in the parameter collection, and false if not.",NULL
You can check the size of a collection using the size() method.,NULL
The Java Stream API provides a more functional programming approach to iterating and processing elements of e.g.,NULL
You obtain a stream from a collection by calling the stream() method of the given collection.,"(""Collection"", ""The Collection class is related to the Stream() method because the Stream() method is called on a collection to obtain a stream."", ""Stream()"")"
Then a Stream of strings is obtained by calling the items.stream() method.,"(""Stream"", ""Stream is related to items because a Stream of strings is obtained from items"", ""items""); (""items"", ""items is related to stream because the stream method is called on items"", ""stream"")"
"This is similar to how you obtain an Iterator by calling the items.iterator() method, but a Stream is a different animal than an Iterator.","(""Iterator"", ""The Iterator entity is related to the items.iterator() method because the method is used to obtain an Iterator."", ""items.iterator()""); (""Stream"", ""The Stream entity is related to the items.iterator() method because the text compares the process of obtaining a Stream to the process of obtaining an Iterator using the items.iterator() method."", ""items.iterator()"")"
The Predicate interface contains a function called test() which the lambda expression passed as parameter above is matched against.,"(""Predicate"", ""The Predicate interface contains a function called test(), indicating that test() is a method of the Predicate interface."", ""test""); (""Predicate"", ""The lambda expression is passed as a parameter to the Predicate interface, indicating that the lambda expression is related to the Predicate interface."", ""lambda expression"")"
