Entity1,Relation,Entity2,
class,replacement,class,T
class,replacement,package,F
method,difference,method,T
class,creation,class,T
class,creation,interface,T
class,creation,interface,T
class,dependency,interface,T
class,implementation,method,T
class,modification,method,F
class,similarity,class,T
interface,creation,interface,F
interface,creation,method,T
interface,dependency,interface,T
interface,dependency,method,T
interface,immutability,method,T
interface,modification,method,T
interface,replacement,interface,T
method,creation,class,T
method,creation,interface,T
method,creation,method,T
method,dependency,class,T
method,dependency,method,T
method,similarity,method,T
method,modification,method,T
class,dependency,class,T
class,implementation,class,T
class,dependency,class,T
method,modification,interface,T
method,dependency,interface,T
interface,difference,interface,T
class,implementation,interface,T
method,implementation,method,T
method,implementation,class,T
class,dependency,method,T
method,implementation,interface,T
class,containment,class,T
class,containment,method,T
interface,containment,class,T
interface,containment,interface,T
interface,containment,method,T
package,containment,class,T
