Entity1,Relation,Entity2,
class,conversion,class,T
class,dependency,interface,T
class,dependency,method,T
class,difference,class,T
class,implementation,interface,T
class,preference,class,T
interface,creation,method,T
interface,dependency,method,T
interface,difference,class,T
interface,difference,method,F
interface,implementation,class,T
interface,modification,method,T
interface,preference,method,T
method,alternative,method,T
method,difference,method,T
method,containment,method,T
method,conversion,interface,T
method,creation,class,T
method,implementation,class,T
method,implementation,method,T
method,interruption,class,T
method,interruption,method,T
method,modification,method,T
method,preference,method,T
method,similarity,method,T
class,replacement,class,T
method,creation,class,T
class,similarity,class,T
method,dependency,interface,T
method,dependency,class,T
class,implementation,method,T
class,creation,method,T
interface,replacement,interface,T
class,containment,method,T
method,dependency,package,T
method,dependency,method,T
class,containment,class,T
