Entity1,Relation,Entity2,
class,replacement,class,T
class,replacement,package,F
class,transfer,class,T
method,difference,method,T
method,reference,method,T
class,creation,class,T
class,creation,interface,T
class,dependency,interface,T
class,implementation,method,T
class,modification,method,T
class,similarity,class,T
interface,creation,interface,T
interface,creation,method,T
interface,dependency,interface,T
interface,dependency,method,T
interface,immutability,method,T
interface,modification,method,T
interface,replacement,interface,T
interface,verification,method,T
method,creation,class,T
method,creation,interface,T
method,creation,method,T
method,dependency,class,T
method,dependency,method,T
class,alternative,class,T
interface,alternative,class,T
method,alternative,method,T
interface,check,method,T
method,check,method,T
method,similarity,method,T
method,modification,method,T
class,dependency,class,T
class,conversion,class,T
class,implementation,class,T
method,transfer,method,F
class,reference,class,T
method,modification,interface,T
method,conversion,interface,T
method,access,interface,T
method,dependency,interface,T
method,reference,class,T
class,transfer,method,F
method,reference,interface,T
interface,difference,interface,T
class,implementation,interface,T
class,example,interface,T
interface,alternative,interface,T
method,transfer,class,T
method,implementation,method,T
method,example,class,F
method,implementation,class,T
class,example,class,T
class,dependency,method,T
method,implementation,interface,T
method,access,class,T
method,access,method,T
class,containment,class,T
class,containment,method,T
interface,containment,class,T
interface,containment,interface,T
interface,containment,method,T
package,containment,class,T
