Entity1,Relation,Entity2,
method,containment,method,F
class,containment,method,T
class,containment,class,T
class,conversion,class,T
method,conversion,interface,T
interface,creation,method,T
method,creation,class,T
method,creation,class,T
class,creation,method,T
class,dependency,interface,T
class,dependency,method,T
interface,dependency,method,T
method,dependency,interface,T
method,dependency,class,T
method,dependency,package,T
method,dependency,method,T
class,difference,class,T
interface,difference,class,T
interface,difference,method,T
method,difference,method,T
method,interrupt,class,T
method,interrupt,method,T
class,preference,class,T
interface,preference,method,T
method,preference,method,T
class,replacement,class,T
interface,replacement,interface,T
method,similarity,method,T
class,similarity,class,T
