The Collections reverse() method can reverse the elements in a Java List.,"('Collections','has method','Collections.reverse()');  ('Collections.reverse()', 'operates on', 'List')"
Here is an example of finding the minimum element in a Java List using Collections min() method:,"(""Collections"", ""method"", ""min()"")"
"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.",
The LinkedList class is a pretty standard Deque and Queue implementation.,"(""LinkedList"", ""implements"", ""Deque""); (""LinkedList"", ""implements"", ""Queue"")"
You add elements to the beginning end of a Deque using the add() method.,"(""Deque"", ""method"", ""add()"")"
"If the element cannot be inserted into the Deque, the add() method will throw an exception.",
"If the element cannot be inserted into the Deque, the addLast() method will throw an exception.",
To peek at the last element of a Java Deque you can use the getLast() method.,"(""Deque"", ""has method"", ""Deque.getLast()"")"
The remove() method removes the first element of a Java Deque.,"(""Deque"", ""has method"", ""Deque.remove()"")"
"The pollFirst() method removes an element from the beginning of the Deque, just like poll().",
Here is an example of removing the last element from a Java Deque using the pollLast() method:,"(""Deque"", ""method"", ""pollLast()"")"
The Java Deque size() method returns the number of elements stored in the Java Deque at the time you invoke the method.,"(""Java Deque"", ""has method"", ""Deque.size()""); (""Deque.size()"", ""returns"", ""number of elements"")"
"Because the Iterator has its generic type set to String, the Java compiler already knows that next() will return a String.",
"As you can see, a proper implementation of .equals() is essential for your own classes to work well with the Java Collection classes.",
"So, as you can see, a combination of the hashCode() and equals() methods are used when storing and when looking up objects in a hashtable.",
"Then it uses a for-each loop to iterate the elements of the List, and print out the toString() value of each element.",
Here is an example of iterating the elements of an Iterable via its forEach() method:,"(""Iterable"", ""has method"", ""Iterable.forEach()"")"
"The reason the for-each loop is slower is, that each iteration will call the List iterator() method, which will create a new Iterator object.",
"In other words, if the Iterator has not yet iterated over all of the elements in the collection the Iterator was obtained from - the hasNext() method will return true.",
The first three add() calls add a String instance to the end of the list.,"(""add()"", ""adds"", ""String"")"
"The addAll() method takes a Collection as parameter, so you can pass either a List or Java Set as parameter.",
"Notice that the get() method returns a Java Object, so we have to cast it to a String (because we know the value is a String).",
"This example creates a Map and stores three values in it using the keys A, B and C. Then the example calls the Map getOrDefault() method, passing the String E as key, along with a default value - the String default value.",
Since the Map does not contain any object stored by the key E the given default value will be returned - which is the String default value passed as the last parameter to the getOrDefault() method.,"(""Map"", ""method"", ""Map.getOrDefault()"")"
"As you can see, the key Iterator returns every key stored in a Java Map, one by one (one for each call to next()).",
The number of entries in a Java Map is also referred to as the Map size - hence the method name size() .,"(""Map"", ""has method"", ""Map.size()"")"
The isEmpty() method will return false if the Map instance contains 1 or more entries.,"(""Map"", ""method"", ""isEmpty()"")"
Here is an example of creating an instance of the Java TreeMap class which implements the NavigableMap interface:,"(""TreeMap"", ""implements"", ""NavigableMap"")"
"The tailMap variable will reference a SortedMap containing all key + value pairs from the NavigableMap for the keys ""c"", ""d"" and ""e"", as these keys are considered equal to or larger than the parameter value ""c"" passed to the tailMap() method.",
The lowerEntry() method in the NavigableMap interface returns the key + value pair for the highest key which is lower than the parameter value passed to the lowerEntry() method.,"(""NavigableMap"", ""contains method"", ""NavigableMap.lowerEntry()"")"
"The pollFirstEntry() method returns and removes the ""first"" entry (key + value) in the NavigableMap or null if the map is empty.",
"The descendingIterator() method allows you to iterate the elements of the NavigableSet (which is also a SortedSet) in reverse order, without changing the order of the elements internally.",
"To get properties from a Java Properties object you use the getProperty() method, passing the key of the property to get as parameter.",
"Using the InputStream you can load the file into a Java Properties instance, using either the load() or loadFromXML() methods explained earlier in this Java Properties tutorial.",
Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,"(""Queue"", ""has method"", ""Queue.poll()""); (""Queue"", ""has method"", ""Queue.remove()"")"
You can check if a Java Queue contains a certain element via its contains() method.,"(""Queue"", ""method"", ""Queue.contains()"")"
The Java Set interface as a method called removeAll() which removes all elements in the Set which are also present in another Collection.,"(""Set"", ""has method"", ""Set.removeAll()""); (""Set.removeAll()"", ""removes elements from"", ""Set""); (""Set.removeAll()"", ""removes elements present in"", ""Collection"")"
You can check the size of a Java Set using the size() method.,"(""Set"", ""has method"", ""Set.size()"")"
"You iterate the keys of a SortedMap by calling its keySet() method, like this:",
The SortedMap interface has a method named headMap() which returns a new Map which contains the first elements of the SortedMap according to the sort order used.,"(""SortedMap"", ""has method"", ""SortedMap.headMap()""); (""SortedMap.headMap()"", ""returns"", ""Map"")"
Here is an example of obtaining a submap from a Java SortedMap via its subMap() method:,"(""SortedMap"", ""has method"", ""SortedMap.subMap()"")"
The Java Collections API only has one implementation of the Java SortedSet interface - the java.util.TreeSet class.,"(""java.util.TreeSet"", ""implements"", ""SortedSet""); (""Java Collections API"", ""contains"", ""SortedSet""); (""Java Collections API"", ""contains"", ""java.util.TreeSet"")"
"Additionally, the Vector class uses several older (no longer recommended) parts of Java, like the Enumeration which is superseded by the Iterator interface.",
You push elements onto a Java Stack using its push() method.,"(""Stack"", ""has method"", ""Stack.push()"")"
Here is an example of obtaining the size of a Java Stack via its size() method:,"(""Stack"", ""has method"", ""Stack.size()"")"
The lockWrite() method of a ReadWriteLock class shown below is an example of a test-and-set method.,"(""ReadWriteLock"", ""has method"", ""ReadWriteLock.lockWrite()"")"
The BoundedSemaphore class shown below has two test-and-set methods: take() and release().,"(""BoundedSemaphore"", ""has method"", ""BoundedSemaphore.take()""); (""BoundedSemaphore"", ""has method"", ""BoundedSemaphore.release()"")"
Here is an example showing how to implement the lock() method shown earlier using the AtomicBoolean class:,"(""AtomicBoolean"", ""implements method"", ""AtomicBoolean.lock()"")"
"a stop() or pause() method too), then you can no longer create your Runnable implementation with a Java lambda expression.",
"If a thread (1) calls the parent.addChild(child) method at the same time as another thread (2) calls the child.setParent(parent) method, on the same parent and child instances, a deadlock can occur.",
"Here are the two classes used in the example above, Counter and CounterThread.",
"The easiest way to create a subclass of ThreadLocal is to simply create an anonymous subclass, right where you create the ThreadLocal variable.",
"Here is an example of creating a ThreadLocal using its withInitial() static factory method, passing a simple Supplier implementation as parameter:",
Notice how the format() method calls the getThreadLocalSimpleDateFormat() method to obtain a Java SimpleDatFormat instance.,"(""format()"", ""calls"", ""getThreadLocalSimpleDateFormat()""); (""getThreadLocalSimpleDateFormat()"", ""returns"", ""SimpleDatFormat"")"
"The Counter class could have been written like this instead, using a Lock instead of a synchronized block:",
"While isLocked is true, the thread calling lock() is parked waiting in the wait() call.",
"When the thread is done with the code in the critical section (the code between lock() and unlock()), the thread calls unlock().",
"Otherwise, a single call to unlock() will unlock the lock, even if the lock has been locked multiple times.",
"That you would not call wait() and notify() on an internal monitor object, but rather on the This is probably true.",
This is how such exclusive access could look using a synchronized block in Java: public class SynchronizedCounter { long count = 0; public void inc() { synchronized(this) { count++; } } public long count() { synchronized(this) { return this.count; } } } Notice how the inc() and count() methods both contain a synchronized block.,"(""SynchronizedCounter"", ""has method"", ""SynchronizedCounter.inc()""); (""SynchronizedCounter"", ""has method"", ""SynchronizedCounter.count()""); (""SynchronizedCounter.inc()"", ""contains"", ""synchronized block""); (""SynchronizedCounter.count()"", ""contains"", ""synchronized block"")"
"import java.util.concurrent.atomic.AtomicBoolean; import java.util.concurrent.atomic.AtomicStampedReference; public class NonblockingTemplate { public static class IntendedModification { public AtomicBoolean completed = new AtomicBoolean(false); } private AtomicStampedReference<IntendedModification> ongoingMod = new AtomicStampedReference<IntendedModification>(null, 0); //declare the state of the data structure here.",
Here is how the lockRead() and unlockRead() methods looks after that change:,
Here is how the lockWrite() and unlockWrite() methods look after that change:,
"You can read more about it in the java.util.concurrent.Semaphore text, in my java.util.concurrent tutorial.",
The take() method sends a signal which is stored internally in the Semaphore.,"(""Semaphore"", ""contains method"", ""take()"")"
"That way the signal is not missed, even if doNotify() is called before doWait().",
"If you look at the Synchronizer class above and look into this Lock implementation you will notice that threads are now blocked trying to access the lock() method, if more than one thread calls lock() simultanously.",
"The thread calling unlock() will take the top QueueObject in the queue and call doNotify() on it, to awaken the thread waiting on that object.",
"The queueObject.doWait() call is placed outside the synchronized(this) block to avoid nested monitor lockout, so another thread can actually call unlock() when no thread is executing inside the synchronized(this) block in lock() method.",
"Below here is the PoolThreadRunnable class which implements the Runnable interface, so it can be executed by a Java thread:",
"Notice how the add() method returns a new ImmutableValue instance with the result of the add operation, rather than adding the value to itself.",
"The class java.lang.Object defines three methods, wait(), notify(), and notifyAll(), to facilitate this.",
"In other words, the calling thread must call wait() or notify() from inside a synchronized block.",
The methods notify() and notifyAll() do not save the method calls to them in case no threads are waiting when they are called.,"(""notify()"", ""is a method of"", ""Object""); (""notifyAll()"", ""is a method of"", ""Object"")"
"If the doNotify() method had called notifyAll() instead of notify(), all waiting threads had been awakened and checked for signals in turn.",
"The other of C and D would go back to waiting, because the thread discovering the signal clears it on the way out of doWait().",
"The method compareAndSet() allows you to compare the current value of the AtomicBoolean to an expected value, and if current value is equal to the expected value, a new value can be set on the AtomicBoolean.",
"The AtomicInteger class provides you with a int variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().",
You can get the value of an AtomicInteger instance via the get() method.,"(""AtomicInteger"", ""has method"", ""AtomicInteger.get()"")"
Calling addAndGet() is also an atomic operation (like all operations on the AtomicIntegerArray).,"(""AtomicIntegerArray"", ""method"", ""addAndGet()""); (""addAndGet()"", ""operation type"", ""atomic""); (""AtomicIntegerArray"", ""operation type"", ""atomic"")"
You should check out the JavaDoc for the AtomicIntegerArray class to learn more about those methods.,"(""AtomicIntegerArray"", ""has documentation"", ""JavaDoc"")"
"The AtomicLong class provides you with a long variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().",
You can set the value of an AtomicLong instance via the set() method.,"(""AtomicLong"", ""has method"", ""AtomicLong.set()"")"
The Java AtomicLongArray class (java.util.concurrent.atomic.AtomicLongArray) represents an array of long .,"(""java.util.concurrent.atomic.AtomicLongArray"", ""is a"", ""Class"")"
You can get the value of a given element using the get() method on the AtomicLongArray.,"(""AtomicLongArray"", ""has method"", ""AtomicLongArray.get()"")"
You can set the value of a given element using the set() method on the AtomicLongArray.,"(""AtomicLongArray"", ""has method"", ""AtomicLongArray.set()"")"
"AtomicReference even has an advanced compareAndSet() method which lets you compare the reference to an expected value (reference) and if they are equal, set a new reference inside the AtomicReference object.",
Notice how it is no longer necessary to cast the referenced returned by get() because the compiler knows it will return a String reference.,
"The compareAndSet() method can compare the reference stored in the AtomicReference instance with an expected reference, and if they two references are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicReference instance.",
If you have a typed AtomicStampedReference then getReference() returns a reference to the type you declared on the AtomicStampedReference variable when you created it.,"(""AtomicStampedReference"", ""method"", ""getReference()"")"
The AtomicStampedReference also contains a getStamp() method which can be used to obtain the internally stored stamp.,"(""AtomicStampedReference"", ""contains method"", ""AtomicStampedReference.getStamp()"")"
