The Collections reverse() method can reverse the elements in a Java List.,"(""[Collections"", ""hasMethod"", ""reverse()]""); (""[List"", ""isReversedBy"", ""reverse()]"")"
Here is an example of finding the minimum element in a Java List using Collections min() method:,"(""Collections"", ""method"", ""min()""); (""List"", ""used in"", ""Collections.min()"")"
"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.",
The LinkedList class is a pretty standard Deque and Queue implementation.,"(""LinkedList"", ""is a"", ""Deque""); (""LinkedList"", ""is a"", ""Queue"")"
You add elements to the beginning end of a Deque using the add() method.,"(""Deque"", ""uses"", ""add()"")"
"If the element cannot be inserted into the Deque, the add() method will throw an exception.",
"If the element cannot be inserted into the Deque, the addLast() method will throw an exception.",
To peek at the last element of a Java Deque you can use the getLast() method.,"(""Deque"", ""uses"", ""getLast()"")"
The remove() method removes the first element of a Java Deque.,"(""Deque"", ""hasMethod"", ""remove()"")"
"The pollFirst() method removes an element from the beginning of the Deque, just like poll().",
Here is an example of removing the last element from a Java Deque using the pollLast() method:,"(""Deque"", ""uses"", ""pollLast()"")"
The Java Deque size() method returns the number of elements stored in the Java Deque at the time you invoke the method.,"(""Deque"", ""hasMethod"", ""size()""); (""size()"", ""returns"", ""number of elements""); (""number of elements"", ""storedIn"", ""Deque""); (""size()"", ""invokedIn"", ""Deque"")"
"Because the Iterator has its generic type set to String, the Java compiler already knows that next() will return a String.",
"As you can see, a proper implementation of .equals() is essential for your own classes to work well with the Java Collection classes.",
"So, as you can see, a combination of the hashCode() and equals() methods are used when storing and when looking up objects in a hashtable.",
"Then it uses a for-each loop to iterate the elements of the List, and print out the toString() value of each element.",
Here is an example of iterating the elements of an Iterable via its forEach() method:,"(""Iterable"", ""hasMethod"", ""forEach()"")"
"The reason the for-each loop is slower is, that each iteration will call the List iterator() method, which will create a new Iterator object.",
"In other words, if the Iterator has not yet iterated over all of the elements in the collection the Iterator was obtained from - the hasNext() method will return true.",
The first three add() calls add a String instance to the end of the list.,"(""add()"", ""adds"", ""String"")"
"The addAll() method takes a Collection as parameter, so you can pass either a List or Java Set as parameter.",
"Notice that the get() method returns a Java Object, so we have to cast it to a String (because we know the value is a String).",
"This example creates a Map and stores three values in it using the keys A, B and C. Then the example calls the Map getOrDefault() method, passing the String E as key, along with a default value - the String default value.",
Since the Map does not contain any object stored by the key E the given default value will be returned - which is the String default value passed as the last parameter to the getOrDefault() method.,"(""Map"", ""does not contain"", ""object""); (""object"", ""stored by"", ""key E""); (""getOrDefault()"", ""returns"", ""default value""); (""default value"", ""is"", ""String default value""); (""getOrDefault()"", ""takes"", ""last parameter"")"
"As you can see, the key Iterator returns every key stored in a Java Map, one by one (one for each call to next()).",
The number of entries in a Java Map is also referred to as the Map size - hence the method name size() .,"(""Map"", ""hasMethod"", ""size()"")"
The isEmpty() method will return false if the Map instance contains 1 or more entries.,"(""Map"", ""hasMethod"", ""isEmpty()""); (""isEmpty()"", ""returns"", ""false""); (""Map"", ""contains"", ""entries""); (""entries"", ""hasCount"", ""1""); (""entries"", ""hasCount"", ""more"")"
Here is an example of creating an instance of the Java TreeMap class which implements the NavigableMap interface:,"(""TreeMap"", ""implements"", ""NavigableMap"")"
"The tailMap variable will reference a SortedMap containing all key + value pairs from the NavigableMap for the keys ""c"", ""d"" and ""e"", as these keys are considered equal to or larger than the parameter value ""c"" passed to the tailMap() method.",
The lowerEntry() method in the NavigableMap interface returns the key + value pair for the highest key which is lower than the parameter value passed to the lowerEntry() method.,"(""NavigableMap"", ""hasMethod"", ""lowerEntry()"")"
"The pollFirstEntry() method returns and removes the ""first"" entry (key + value) in the NavigableMap or null if the map is empty.",
"The descendingIterator() method allows you to iterate the elements of the NavigableSet (which is also a SortedSet) in reverse order, without changing the order of the elements internally.",
"To get properties from a Java Properties object you use the getProperty() method, passing the key of the property to get as parameter.",
"Using the InputStream you can load the file into a Java Properties instance, using either the load() or loadFromXML() methods explained earlier in this Java Properties tutorial.",
Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,"(""Queue"", ""hasMethod"", ""poll()""); (""Queue"", ""hasMethod"", ""remove()"")"
You can check if a Java Queue contains a certain element via its contains() method.,"(""Queue"", ""hasMethod"", ""contains()"")"
The Java Set interface as a method called removeAll() which removes all elements in the Set which are also present in another Collection.,"(""Set"", ""hasMethod"", ""removeAll()""); (""removeAll()"", ""removesElements"", ""Collection"")"
You can check the size of a Java Set using the size() method.,"(""Set"", ""hasMethod"", ""size()"")"
"You iterate the keys of a SortedMap by calling its keySet() method, like this:",
The SortedMap interface has a method named headMap() which returns a new Map which contains the first elements of the SortedMap according to the sort order used.,"(""SortedMap"", ""hasMethod"", ""headMap()""); (""headMap()"", ""returns"", ""Map""); (""Map"", ""contains"", ""first elements""); (""SortedMap"", ""uses"", ""sort order"")"
Here is an example of obtaining a submap from a Java SortedMap via its subMap() method:,"(""SortedMap"", ""hasMethod"", ""subMap()"")"
The Java Collections API only has one implementation of the Java SortedSet interface - the java.util.TreeSet class.,"(""Java Collections API"", ""has implementation"", ""java.util.TreeSet""); (""java.util.TreeSet"", ""implements"", ""Java SortedSet interface"")"
"Additionally, the Vector class uses several older (no longer recommended) parts of Java, like the Enumeration which is superseded by the Iterator interface.",
You push elements onto a Java Stack using its push() method.,"(""Stack"", ""uses"", ""push()"")"
Here is an example of obtaining the size of a Java Stack via its size() method:,"(""Stack"", ""hasMethod"", ""size()"")"
The lockWrite() method of a ReadWriteLock class shown below is an example of a test-and-set method.,"(""ReadWriteLock"", ""hasMethod"", ""lockWrite()"")"
The BoundedSemaphore class shown below has two test-and-set methods: take() and release().,"(""BoundedSemaphore"", ""hasMethod"", ""take()""); (""BoundedSemaphore"", ""hasMethod"", ""release()"")"
Here is an example showing how to implement the lock() method shown earlier using the AtomicBoolean class:,"(""AtomicBoolean"", ""implements"", ""lock()"")"
"a stop() or pause() method too), then you can no longer create your Runnable implementation with a Java lambda expression.",
"If a thread (1) calls the parent.addChild(child) method at the same time as another thread (2) calls the child.setParent(parent) method, on the same parent and child instances, a deadlock can occur.",
"Here are the two classes used in the example above, Counter and CounterThread.",
"The easiest way to create a subclass of ThreadLocal is to simply create an anonymous subclass, right where you create the ThreadLocal variable.",
"Here is an example of creating a ThreadLocal using its withInitial() static factory method, passing a simple Supplier implementation as parameter:",
Notice how the format() method calls the getThreadLocalSimpleDateFormat() method to obtain a Java SimpleDatFormat instance.,"(""format()"", ""calls"", ""getThreadLocalSimpleDateFormat()""); (""getThreadLocalSimpleDateFormat()"", ""obtains"", ""SimpleDateFormat"")"
"The Counter class could have been written like this instead, using a Lock instead of a synchronized block:",
"While isLocked is true, the thread calling lock() is parked waiting in the wait() call.",
"When the thread is done with the code in the critical section (the code between lock() and unlock()), the thread calls unlock().",
"Otherwise, a single call to unlock() will unlock the lock, even if the lock has been locked multiple times.",
"That you would not call wait() and notify() on an internal monitor object, but rather on the This is probably true.",
