Original Text,NULL
The Collections reverse() method can reverse the elements in a Java List.,"(""reverse"", ""reverse() is a method of the Collections class."", ""Collections"")"
Here is an example of finding the minimum element in a Java List using Collections min() method:,"(""Collections"", ""Collections is a package that contains the min method."", ""min"")"
"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.",NULL
The LinkedList class is a pretty standard Deque and Queue implementation.,"(""LinkedList"", ""The LinkedList class is a standard implementation of the Deque."", ""Deque"")"
You add elements to the beginning end of a Deque using the add() method.,NULL
"If the element cannot be inserted into the Deque, the add() method will throw an exception.",NULL
"If the element cannot be inserted into the Deque, the addLast() method will throw an exception.",NULL
To peek at the last element of a Java Deque you can use the getLast() method.,NULL
The remove() method removes the first element of a Java Deque.,NULL
"The pollFirst() method removes an element from the beginning of the Deque, just like poll().","(""pollFirst"", ""The pollFirst() method operates on the Deque class by removing an element from its beginning."", ""Deque"")"
Here is an example of removing the last element from a Java Deque using the pollLast() method:,NULL
The Java Deque size() method returns the number of elements stored in the Java Deque at the time you invoke the method.,"(""size"", ""The size() method is a method of the Deque class that returns the number of elements stored in it."", ""Deque"")"
"Because the Iterator has its generic type set to String, the Java compiler already knows that next() will return a String.","(""Iterator"", ""The next() method is associated with the Iterator class, indicating it is a method defined within that class."", ""next"")"
"As you can see, a proper implementation of .equals() is essential for your own classes to work well with the Java Collection classes.",NULL
"So, as you can see, a combination of the hashCode() and equals() methods are used when storing and when looking up objects in a hashtable.","(""hashCode"", ""Both methods are used in conjunction when storing and looking up objects in a hashtable."", ""equals""); (""hashCode"", ""The hashCode method is used when looking up objects in a hashtable."", ""hashtable"")"
"Then it uses a for-each loop to iterate the elements of the List, and print out the toString() value of each element.",NULL
Here is an example of iterating the elements of an Iterable via its forEach() method:,NULL
"The reason the for-each loop is slower is, that each iteration will call the List iterator() method, which will create a new Iterator object.","(""ForEachLoop"", ""The for-each loop uses the List iterator() method to create a new Iterator object for each iteration."", ""Iterator"")"
"In other words, if the Iterator has not yet iterated over all of the elements in the collection the Iterator was obtained from - the hasNext() method will return true.","(""Iterator"", ""The hasNext() method is a function of the Iterator class that checks if there are more elements to iterate over."", ""hasNext"")"
The first three add() calls add a String instance to the end of the list.,"(""add"", ""The add() method is used to add a String instance to the list."", ""String"")"
"The addAll() method takes a Collection as parameter, so you can pass either a List or Java Set as parameter.","(""addAll"", ""The addAll() method takes a Collection as a parameter."", ""Collection""); (""addAll"", ""The addAll() method can accept a List as a parameter."", ""List"")"
"Notice that the get() method returns a Java Object, so we have to cast it to a String (because we know the value is a String).","(""get"", ""The get() method returns a Java Object."", ""Java Object"")"
