The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'dependency', 'class'): (reverse, can reverse, list)""]"
Here is an example of finding the minimum element in a Java List using Collections min() method:,"[""('class', 'dependency', 'method'): (collections, uses, min)"", ""('method', 'implementation', 'class'): (min, is implemented in, collections)""]"
"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.","[""('method', 'dependency', 'class'): (compareto, should throw, nullpointerexception)"", ""('method', 'interrupt', 'class'): (compareto, throw, nullpointerexception)""]"
The LinkedList class is a pretty standard Deque and Queue implementation.,"[""('class', 'implementation', 'class'): (linkedlist, is a standard implementation of, deque)"", ""('class', 'implementation', 'class'): (linkedlist, is a standard implementation of, queue)""]"
You add elements to the beginning end of a Deque using the add() method.,"[""('method', 'dependency', 'class'): (add, used for, deque)"", ""('class', 'implementation', 'method'): (deque, uses, add)""]"
"If the element cannot be inserted into the Deque, the add() method will throw an exception.","[""('class', 'dependency', 'method'): (deque, relies on for insertion, add)"", ""('method', 'interrupt', 'class'): (add, will throw exception when cannot be inserted into, deque)""]"
"If the element cannot be inserted into the Deque, the addLast() method will throw an exception.","[""('class', 'dependency', 'method'): (deque, cannot be inserted into, addlast)"", ""('class', 'containment', 'method'): (deque, inserted into, addlast)""]"
To peek at the last element of a Java Deque you can use the getLast() method.,"[""('class', 'dependency', 'method'): (deque, uses, getlast)"", ""('class', 'implementation', 'method'): (deque, implements, getlast)""]"
The remove() method removes the first element of a Java Deque.,"[""('class', 'containment', 'method'): (deque, has element removed by, remove)""]"
"The pollFirst() method removes an element from the beginning of the Deque, just like poll().","[""('method', 'dependency', 'class'): (pollfirst, removes an element from, deque)"", ""('method', 'dependency', 'class'): (poll, removes an element from, deque)""]"
Here is an example of removing the last element from a Java Deque using the pollLast() method:,"[""('method', 'dependency', 'class'): (polllast, used on, deque)"", ""('method', 'implementation', 'class'): (polllast, removes from, deque)""]"
The Java Deque size() method returns the number of elements stored in the Java Deque at the time you invoke the method.,"[""('class', 'dependency', 'method'): (deque, returns the number of elements stored in, size())"", ""('class', 'containment', 'method'): (deque, has, size())""]"
"Because the Iterator has its generic type set to String, the Java compiler already knows that next() will return a String.","[""('class', 'dependency', 'class'): (iterator, has its generic type set to, string)"", ""('class', 'dependency', 'class'): (iterator, has next() that returns a, string)"", ""('method', 'dependency', 'class'): (next, returns a, string)""]"
"As you can see, a proper implementation of .equals() is essential for your own classes to work well with the Java Collection classes.","[""('method', 'dependency', 'class'): (.equals(), is essential for, collection)"", ""('method', 'implementation', 'class'): (.equals(), work well with, collection)""]"
"So, as you can see, a combination of the hashCode() and equals() methods are used when storing and when looking up objects in a hashtable.","[""('method', 'dependency', 'method'): (hashcode, used with, equals)"", ""('method', 'dependency', 'class'): (hashcode, used with, hashtable)"", ""('method', 'dependency', 'class'): (equals, used with, hashtable)""]"
