Entity1,Relation,Entity2,,
class,communication,class,T,T
class,comparison,class,T,T
class,containment,class,T,T
class,containment,method,T,T
class,conversion,method,F,T
class,cooperation,class,T,T
class,dependency,method,T,T
class,formatting,method,F,F
interface,comparison,class,T,T
class,implementation,method,T,T
class,naming,class,F,F
class,ordering,method,F,F
class,support,class,F,T
interface,alternative,interface,T,T
interface,conversion,class,T,T
interface,cooperation,class,T,T
interface,creation,method,T,T
interface,dependency,method,T,T
method,comparison,method,T,T
method,conversion,class,T,T
interface,support,class,T,T
method,alternative,method,T,T
method,conversion,method,T,T
method,containment,class,F,F
method,creation,class,T,T
method,dependency,method,T,T
method,formatting,method,F,F
package,formatting,class,F,F
method,naming,method,F,F
method,support,method,T,T
package,formatting,class,F,F
