Entity1,Relation,Entity2,,
class,access,method,T,T
class,collaboration,class,T,T
class,collaboration,interface,T,T
class,collaboration,method,T,T
class,collaboration,static field,T,T
class,containment,class,T,T
class,containment,interface,T,T
class,containment,method,T,T
class,conversion,class,T,T
class,dependency,class,T,T
class,dependency,interface,T,T
class,dependency,method,T,T
class,dependency,package,F,F
class,difference,class,T,T
class,equivalence,class,T,T
class,equivalence,interface,F,F
class,execution,method,T,T
class,implementation,method,T,T
class,modification,class,F,F
class,order,interface,F,F
class,order,method,F,F
class,preference,class,T,T
class,used,class,F,T
class,wraps,class,F,T
interface,containment,class,T,T
interface,containment,interface,T,T
interface,containment,method,T,T
interface,conversion,class,T,T
interface,creation,interface,T,T
interface,creation,method,T,T
interface,dependency,interface,T,T
interface,dependency,method,T,T
interface,difference,class,F,F
interface,equivalence,class,F,F
interface,equivalence,interface,T,T
interface,execution,class,F,F
interface,modification,method,T,T
interface,preference,class,F,F
interface,provides,interface,F,F
method,access,method,T,T
method,collaboration,interface,T,T
method,collaboration,method,T,T
method,comparison,class,F,F
method,comparison,method,F,F
method,containment,class,F,F
method,conversion,method,T,T
method,creation,class,T,T
method,creation,interface,T,T
method,creation,method,T,T
method,dependency,class,T,T
method,dependency,interface,T,T
method,dependency,method,T,T
method,difference,class,F,F
method,difference,method,T,T
method,equivalence,class,F,F
method,equivalence,interface,F,F
method,equivalence,method,T,T
method,execution,class,T,T
method,execution,interface,F,F
method,execution,method,T,T
method,immutability,class,F,F
method,immutability,method,T,T
method,implementation,class,F,F
method,order,interface,F,F
method,preference,class,F,F
method,preference,method,T,T
method,returns,interface,F,F
method,takes,interface,F,F
method,verification,method,T,T
package,dependency,class,T,T
package,dependency,package,T,T
package,preference,class,F,F
