Entity1,Relation,Entity2,,
class,accessibility,class,T,T
class,accessibility,method,T,T
class,comparison,class,T,T
class,comparison,method,T,T
class,containment,class,T,T
class,conversion,class,T,T
class,dependency,class,T,T
class,dependency,interface,T,T
class,disruption,interface,F,F
class,distinctness,class,F,F
class,distinctness,interface,F,F
class,immutability,method,T,T
class,implementation,interface,T,T
class,implementation,method,T,T
class,interaction,class,F,F
class,interaction,interface,F,F
class,interaction,library,F,F
class,modification,class,T,T
class,modification,interface,T,T
class,preference,class,T,T
class,preference,interface,T,T
class,preference,method,T,T
class,relationship,class,F,F
class,relationship,interface,F,F
class,restriction,method,F,F
class,variation,class,T,T
interface,causality,class,F,F
interface,comparison,class,T,T
interface,comparison,interface,T,T
interface,comparison,method,T,T
interface,conversion,method,T,T
interface,dependency,class,T,T
interface,distinctness,interface,F,F
interface,implementation,interface,T,T
interface,interaction,class,F,F
interface,interaction,interface,F,F
interface,interaction,method,F,F
interface,preference,class,T,T
interface,preference,interface,T,T
interface,variation,class,T,T
method,accessibility,method,T,T
method,comparison,method,T,T
method,containment,class,T,T
method,conversion,class,T,T
method,creation,class,T,T
method,dependency,method,T,T
method,disruption,class,F,F
method,disruption,method,F,F
method,immutability,method,F,T
method,impact,method,T,T
method,interaction,class,F,F
method,interaction,interface,F,F
method,interaction,method,F,F
method,invalid relation,class,F,F
method,modification,method,T,T
method,preference,class,T,T
method,preference,method,T,T
method,relationship,method,F,F
method,restriction,class,F,F
method,substitution,class,T,T
method,substitution,method,T,T
method,variation,method,T,T
package,substitution,package,T,T
