The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'modification', 'class'): (collections.reverse(), reverse the elements, list)""]"
Here is an example of finding the minimum element in a Java List using Collections min() method:,[]
"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.","[""('method', 'dependency', 'class'): (compareto(), throw, nullpointerexception)""]"
The LinkedList class is a pretty standard Deque and Queue implementation.,"[""('class', 'implementation', 'interface'): (linkedlist, is a, deque)"", ""('class', 'implementation', 'interface'): (linkedlist, is a, queue)""]"
You add elements to the beginning end of a Deque using the add() method.,"[""('class', 'collaboration', 'method'): (deque, use, add())""]"
"If the element cannot be inserted into the Deque, the add() method will throw an exception.","[""('class', 'containment', 'method'): (deque, includes, add())""]"
"If the element cannot be inserted into the Deque, the addLast() method will throw an exception.","[""('class', 'collaboration', 'method'): (deque, use, addlast())""]"
To peek at the last element of a Java Deque you can use the getLast() method.,"[""('class', 'collaboration', 'method'): (deque, use, getlast())""]"
The remove() method removes the first element of a Java Deque.,"[""('method', 'collaboration', 'interface'): (remove(), removes, deque)""]"
"The pollFirst() method removes an element from the beginning of the Deque, just like poll().","[""('method', 'similarity', 'method'): (pollfirst(), removes an element from the beginning just like, poll())"", ""('method', 'collaboration', 'interface'): (pollfirst(), removes an element from the beginning of, deque)"", ""('method', 'collaboration', 'interface'): (poll(), removes an element from the beginning of, deque)""]"
Here is an example of removing the last element from a Java Deque using the pollLast() method:,"[""('method', 'collaboration', 'interface'): (polllast(), use, deque)""]"
The Java Deque size() method returns the number of elements stored in the Java Deque at the time you invoke the method.,"[""('class', 'containment', 'method'): (deque, includes the number of elements, size())""]"
"Because the Iterator has its generic type set to String, the Java compiler already knows that next() will return a String.","[""('interface', 'containment', 'method'): (iterator, has its generic type set to, next())""]"
"As you can see, a proper implementation of .equals() is essential for your own classes to work well with the Java Collection classes.","[""('method', 'implementation', 'class'): (.equals(), proper implementation, java collection)""]"
