Entity1,Relation,Entity2
class,communication,class
class,comparison,class
class,containment,class
class,containment,method
class,conversion,method
class,cooperation,class
class,dependency,method
class,formatting,method
interface,comparison,class
class,implementation,method
class,naming,class
class,ordering,method
class,support,class
interface,alternative,interface
interface,conversion,class
interface,cooperation,class
interface,creation,method
interface,dependency,method
method,comparison,method
method,conversion,class
interface,support,class
method,alternative,method
method,conversion,method
method,containment,class
method,creation,class
method,dependency,method
method,formatting,method
package,formatting,class
method,naming,method
method,support,method
package,formatting,class
