Entity1,Relation,Entity2
class,contain,method
class,contain,field
class,contain,class
class,depend,class
class,implement,class
class,extend,class
class,define,method
class,define,field
class,modify,method
class,replace,class
class,access,method
class,access,class
class,define,exception
class,test,method
class,represent,data
class,permit,data
class,instantiate,class
class,transform,class
class,serialize,class
class,serialize,method
class,return,method
class,select,class
class,select,method
class,subscribe,event
class,publish,event
class,configure,class
class,register,class
class,resolve,class
class,bind,data
class,manage,resource
class,merge,data
class,override,method
class,call,method
class,instantiate,object
class,annotate,method
class,annotate,field
class,deprecate,method
class,deprecate,field
method,process,data
method,throw,exception
method,use,class
method,depend,class
method,depend,method
method,call,method
method,create,class
method,modify,class
method,access,class
method,access,method
method,handle,exception
method,test,class
method,test,exception
method,log,data
method,authenticate,user
method,authorize,data
method,serialize,data
method,deserialize,data
method,validate,data
method,enforce,data
method,transition,state
method,interrupt,thread
method,cache,data
method,notify,user
method,annotate,parameter
method,return,data
method,accept,parameter
method,chain,method
package,contain,class
package,contain,exception
package,depend,package
package,manage,resource
package,resolve,class
package,merge,resource
package,transfer,class
package,version,resource
data,cache,method
data,transform,method
data,filter,method
data,aggregate,method
class,difference,class
resource,manage,method
resource,merge,resource
resource,version,method
resource,control,method
exception,throw,method
exception,handle,method
exception,notify,user
exception,log,data
user,notify,method
user,authenticate,method
user,process,data
user,authorize,method
user,assign,role
subject,relation,object
class,test,class
class,test,field
class,test,exception
method,test,field
method,test,exception
class,configure,method
class,configure,field
method,configure,field
class,register,method
class,register,field
method,register,field
class,resolve,method
class,resolve,field
method,resolve,field
class,bind,method
class,bind,field
method,bind,field
class,merge,method
class,merge,field
method,merge,field
class,override,field
method,override,field
class,call,field
method,call,field
class,annotate,class
method,annotate,class
class,deprecate,class
method,deprecate,class
class,return,field
method,return,field
class,select,field
method,select,field
class,subscribe,method
class,subscribe,field
method,subscribe,field
class,publish,method
class,publish,field
method,publish,field
class,instantiate,method
class,instantiate,field
method,instantiate,field
class,transform,method
class,transform,field
method,transform,field
class,serialize,field
method,serialize,field
class,manage,method
class,manage,field
method,manage,field
class,control,method
class,control,field
method,control,field
class,chain,method
class,chain,field
method,chain,field
class,accept,method
class,accept,field
method,accept,field
class,assign,method
class,assign,field
method,assign,field
class,transfer,method
class,transfer,field
method,transfer,field
class,version,method
class,version,field
method,version,field
class,filter,method
class,filter,field
method,filter,field
class,aggregate,method
class,aggregate,field
method,aggregate,field
class,similarity,class
method,difference,method
method,similarity,method
class,trigger,method
class,trigger,field
method,trigger,field
class,notify,method
class,notify,field
method,notify,field
class,log,method
class,log,field
method,log,field
class,validate,method
class,validate,field
method,validate,field
class,enforce,method
class,enforce,field
method,enforce,field
class,transition,method
class,transition,field
method,transition,field
class,interrupt,method
class,interrupt,field
method,interrupt,field
class,cache,method
class,cache,field
method,cache,field
method,preference,method
field,difference,field
field,similarity,field
field,preference,field
exception,difference,exception
exception,similarity,exception
exception,preference,exception
data,difference,data
data,similarity,data
data,preference,data
resource,difference,resource
resource,similarity,resource
resource,preference,resource
package,difference,package
package,similarity,package
package,preference,package
user,difference,user
user,similarity,user
user,preference,user
event,difference,event
event,similarity,event
event,preference,event
parameter,difference,parameter
parameter,similarity,parameter
parameter,preference,parameter
role,difference,role
role,similarity,role
role,preference,role
object,difference,object
object,similarity,object
object,preference,object
state,difference,state
state,similarity,state
state,preference,state
thread,difference,thread
thread,similarity,thread
thread,preference,thread
