Entity1,Relation,Entity2
class,accessibility,class
class,accessibility,method
class,comparison,class
class,comparison,method
class,containment,class
class,conversion,class
class,dependency,class
class,dependency,interface
class,disruption,interface
class,distinctness,class
class,distinctness,interface
class,immutability,method
class,implementation,interface
class,implementation,method
class,interaction,class
class,interaction,interface
class,interaction,library
class,modification,class
class,modification,interface
class,preference,class
class,preference,interface
class,preference,method
class,relationship,class
class,relationship,interface
class,restriction,method
class,variation,class
interface,causality,class
interface,comparison,class
interface,comparison,interface
interface,comparison,method
interface,conversion,method
interface,dependency,class
interface,distinctness,interface
interface,implementation,interface
interface,interaction,class
interface,interaction,interface
interface,interaction,method
interface,preference,class
interface,preference,interface
interface,variation,class
method,accessibility,method
method,comparison,method
method,containment,class
method,conversion,class
method,creation,class
method,dependency,method
method,disruption,class
method,disruption,method
method,immutability,method
method,impact,method
method,interaction,class
method,interaction,interface
method,interaction,method
method,invalid relation,class
method,modification,method
method,preference,class
method,preference,method
method,relationship,method
method,restriction,class
method,substitution,class
method,substitution,method
method,variation,method
package,substitution,package
