Entity1,Relation,Entity2
class,collaboration,class
class,collaboration,interface
class,collaboration,method
class,containment,class
class,containment,method
class,conversion,class
class,creation,class
class,creation,interface
class,creation,method
class,dependency,interface
class,difference,class
class,difference,interface
class,difference,method
class,implementation,method
class,modification,method
class,preference,class
class,replacement,class
class,replacement,interface
class,similarity,class
class,similarity,interface
interface,collaboration,class
interface,collaboration,interface
interface,containment,class
interface,containment,interface
interface,containment,method
interface,conversion,class
interface,creation,interface
interface,creation,method
interface,dependency,interface
interface,dependency,method
interface,difference,class
interface,difference,method
interface,immutability,method
interface,modification,method
interface,preference,class
interface,replacement,class
interface,replacement,interface
interface,verification,method
method,collaboration,class
method,collaboration,interface
method,collaboration,method
method,containment,class
method,conversion,method
method,creation,class
method,creation,interface
method,creation,method
method,dependency,class
method,dependency,method
method,difference,method
method,immutability,class
method,immutability,method
method,interruption,interface
method,modification,class
method,preference,method
method,replacement,method
method,similarity,method
method,verification,method
package,containment,class
