Entity1,Relation,Entity2
class,collaboration,class
class,collaboration,interface
class,comparison,class
class,comparison,interface
class,containment,class
class,conversion,class
class,creation,method
class,dependency,class
class,dependency,interface
class,dependency,method
class,equivalence,class
class,equivalence,interface
class,equivalence,method
class,immutability,method
class,modification,class
class,modification,method
class,performance,class
class,replacement,class
class,replacement,method
constructor,modification,method
interface,collaboration,class
interface,comparison,class
interface,comparison,interface
interface,creation,interface
interface,creation,method
interface,dependency,interface
interface,equivalence,interface
interface,equivalence,method
interface,inheritance,interface
interface,inheritance,method
interface,modification,class
interface,replacement,class
interface,traversal,class
method,comparison,method
method,containment,class
method,containment,method
method,creation,class
method,creation,interface
method,creation,method
method,dependency,method
method,equivalence,class
method,equivalence,interface
method,equivalence,method
method,modification,class
method,modification,method
method,performance,class
method,performance,method
method,replacement,class
method,replacement,method
method,return,class
method,return,interface
method,return,method
package,performance,class
package,replacement,package
