The Collections reverse() method can reverse the elements in a Java List.,"['modification: (collections, reverse the elements of, list)', 'dependency: (reverse, method requires, list)']","[""('class', 'modification', 'class'): (collections, reverse the elements of, list)""]"
Here is an example of finding the minimum element in a Java List using Collections min() method:,"['dependency: (collections, method-used-for, min())', 'containment: (collections, includes, list)', 'dependency: (min(), requires, list)']","[""('class', 'dependency', 'method'): (collections, method-used-for, min())""]"
"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.","['exception: (compareto(), throw, nullpointerexception)']",[]
The LinkedList class is a pretty standard Deque and Queue implementation.,"['equivalence: (linkedlist, is_a_standard_implementation_of, deque)', 'equivalence: (linkedlist, is_a_standard_implementation_of, queue)']","[""('class', 'equivalence', 'interface'): (linkedlist, is_a_standard_implementation_of, deque)"", ""('class', 'equivalence', 'interface'): (linkedlist, is_a_standard_implementation_of, queue)""]"
You add elements to the beginning end of a Deque using the add() method.,"['containment: (deque, inclusion, add())']",[]
"If the element cannot be inserted into the Deque, the add() method will throw an exception.","['exception: (deque, throw an exception, add())']",[]
"If the element cannot be inserted into the Deque, the addLast() method will throw an exception.","['exception: (addlast(), throw exception, deque)']",[]
To peek at the last element of a Java Deque you can use the getLast() method.,"['dependency: (deque, method used to peek at last element, getlast())']","[""('class', 'dependency', 'method'): (deque, method used to peek at last element, getlast())""]"
The remove() method removes the first element of a Java Deque.,"['modification: (remove(), removes the first element, deque)']","[""('method', 'modification', 'class'): (remove(), removes the first element, deque)""]"
"The pollFirst() method removes an element from the beginning of the Deque, just like poll().","['comparison: (pollfirst(), removes an element from the beginning just like, poll())']","[""('method', 'comparison', 'method'): (pollfirst(), removes an element from the beginning just like, poll())""]"
Here is an example of removing the last element from a Java Deque using the pollLast() method:,"['traversal: (deque, removing the last element from, polllast())']",[]
The Java Deque size() method returns the number of elements stored in the Java Deque at the time you invoke the method.,"['return: (deque, returns the number of elements stored, size())']",[]
"Because the Iterator has its generic type set to String, the Java compiler already knows that next() will return a String.","['return: (next(), will return, string)']","[""('method', 'return', 'class'): (next(), will return, string)""]"
"As you can see, a proper implementation of .equals() is essential for your own classes to work well with the Java Collection classes.","['dependency: (.equals(), implementation, java collection)']",[]
"So, as you can see, a combination of the hashCode() and equals() methods are used when storing and when looking up objects in a hashtable.","['collaboration: (hashcode(), used together with, equals())', 'dependency: (hashcode(), when storing and looking up objects, hashtable)', 'dependency: (equals(), when storing and looking up objects, hashtable)']",[]
"Then it uses a for-each loop to iterate the elements of the List, and print out the toString() value of each element.","['return: (tostring(), print_value_of, list)']","[""('method', 'return', 'class'): (tostring(), print_value_of, list)""]"
Here is an example of iterating the elements of an Iterable via its forEach() method:,"['traversal: (foreach(), iterating the elements, iterable)']",[]
"The reason the for-each loop is slower is, that each iteration will call the List iterator() method, which will create a new Iterator object.","['creation: (iterator(), create a new, iterator)']","[""('method', 'creation', 'class'): (iterator(), create a new, iterator)""]"
"In other words, if the Iterator has not yet iterated over all of the elements in the collection the Iterator was obtained from - the hasNext() method will return true.","['dependency: (iterator, prerequisite_for_iteration, hasnext())', 'traversal: (iterator, facilitates_iteration_over_elements, hasnext())']","[""('class', 'dependency', 'method'): (iterator, prerequisite_for_iteration, hasnext())""]"
