The Collections reverse() method can reverse the elements in a Java List.,"['modification: (collections, modifies, reverse())', 'containment: (collections, includes, list)', 'implementation: (reverse(), works on, list)']","[""('class', 'containment', 'class'): (collections, includes, list)""]"
Here is an example of finding the minimum element in a Java List using Collections min() method:,,[]
"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.","['causality: (compareto(), should throw, nullpointerexception)']",[]
The LinkedList class is a pretty standard Deque and Queue implementation.,"['implementation: (linkedlist, standard implementation of, deque)', 'implementation: (linkedlist, standard implementation of, queue)']","[""('class', 'implementation', 'interface'): (linkedlist, standard implementation of, deque)"", ""('class', 'implementation', 'interface'): (linkedlist, standard implementation of, queue)""]"
You add elements to the beginning end of a Deque using the add() method.,"['implementation: (add(), usage, deque)']",[]
"If the element cannot be inserted into the Deque, the add() method will throw an exception.","['dependency: (deque, rely on, add())']",[]
"If the element cannot be inserted into the Deque, the addLast() method will throw an exception.","['causality: (deque, unable to insert causes exception, addlast())']",[]
To peek at the last element of a Java Deque you can use the getLast() method.,"['accessibility: (deque, peek at last element, getlast())']","[""('class', 'accessibility', 'method'): (deque, peek at last element, getlast())""]"
The remove() method removes the first element of a Java Deque.,,[]
"The pollFirst() method removes an element from the beginning of the Deque, just like poll().","['comparison: (pollfirst(), removes an element from the beginning just like, poll())']","[""('method', 'comparison', 'method'): (pollfirst(), removes an element from the beginning just like, poll())""]"
Here is an example of removing the last element from a Java Deque using the pollLast() method:,,[]
The Java Deque size() method returns the number of elements stored in the Java Deque at the time you invoke the method.,"['containment: (deque, stored in, deque)', 'implementation: (deque, has method, size())']","[""('class', 'containment', 'class'): (deque, stored in, deque)"", ""('class', 'implementation', 'method'): (deque, has method, size())""]"
"Because the Iterator has its generic type set to String, the Java compiler already knows that next() will return a String.","['containment: (iterator, has its generic type set to string, next())']",[]
"As you can see, a proper implementation of .equals() is essential for your own classes to work well with the Java Collection classes.","['dependency: (.equals(), work well with, collection)']",[]
"So, as you can see, a combination of the hashCode() and equals() methods are used when storing and when looking up objects in a hashtable.","['collaboration: (hashcode(), combination with, equals)', 'dependency: (hashcode(), used when storing and looking up objects in, hashtable)', 'dependency: (equals(), used when storing and looking up objects in, hashtable)']",[]
"Then it uses a for-each loop to iterate the elements of the List, and print out the toString() value of each element.",,[]
Here is an example of iterating the elements of an Iterable via its forEach() method:,"['containment: (iterable, contains, foreach())']",[]
"The reason the for-each loop is slower is, that each iteration will call the List iterator() method, which will create a new Iterator object.","['creation: (iterator(), create, iterator object)']",[]
"In other words, if the Iterator has not yet iterated over all of the elements in the collection the Iterator was obtained from - the hasNext() method will return true.","['dependency: (iterator, used to check elements with, hasnext())']",[]
The first three add() calls add a String instance to the end of the list.,"['creation: (add(), adds, string instance)']",[]
"The addAll() method takes a Collection as parameter, so you can pass either a List or Java Set as parameter.",,[]
"Notice that the get() method returns a Java Object, so we have to cast it to a String (because we know the value is a String).",,[]
"This example creates a Map and stores three values in it using the keys A, B and C. Then the example calls the Map getOrDefault() method, passing the String E as key, along with a default value - the String default value.","['containment: (map, stores, getordefault())']",[]
Since the Map does not contain any object stored by the key E the given default value will be returned - which is the String default value passed as the last parameter to the getOrDefault() method.,,[]
"As you can see, the key Iterator returns every key stored in a Java Map, one by one (one for each call to next()).","['accessibility: (iterator, returns, next())']","[""('class', 'accessibility', 'method'): (iterator, returns, next())""]"
The number of entries in a Java Map is also referred to as the Map size - hence the method name size() .,,[]
The isEmpty() method will return false if the Map instance contains 1 or more entries.,,[]
Here is an example of creating an instance of the Java TreeMap class which implements the NavigableMap interface:,"['implementation: (treemap, implements, navigablemap)']","[""('class', 'implementation', 'interface'): (treemap, implements, navigablemap)""]"
