Entity1,Relation,Entity2
economic_indicator,affects_stock,organization
event,affects_stock,organization
macro_condition,affects_stock,organization
risk_factor,affects_stock,organization
organization,announces,accounting_policy
organization,announces,esg_topic
organization,announces,event
organization,announces,product
organization,announces,segment
event,causes_shortage,raw_material
logistics,causes_shortage,raw_material
macro_condition,causes_shortage,raw_material
external_company,complies_with,accounting_policy
external_company,complies_with,regulation
organization,complies_with,accounting_policy
organization,complies_with,regulation
segment,complies_with,accounting_policy
external_company,decreases,metric
metric,decreases,market
organization,decreases,metric
external_company,depends_on,external_company
external_company,depends_on,instrument
external_company,depends_on,market
external_company,depends_on,regulation
logistics,depends_on,external_company
logistics,depends_on,instrument
logistics,depends_on,market
organization,depends_on,external_company
organization,depends_on,instrument
organization,depends_on,logistics
organization,depends_on,market
organization,depends_on,regulation
segment,depends_on,logistics
segment,depends_on,raw_material
segment,depends_on,regulation
commentary,discloses,commentary
commentary,discloses,economic_indicator
commentary,discloses,esg_topic
commentary,discloses,macro_condition
commentary,discloses,metric
external_company,discloses,metric
government,discloses,commentary
organization,discloses,accounting_policy
organization,discloses,economic_indicator
organization,discloses,esg_topic
organization,discloses,litigation
organization,discloses,macro_condition
organization,discloses,metric
organization,discloses,regulation
organization,discloses,risk_factor
organization,discloses,segment
regulator,discloses,accounting_policy
external_company,faces,litigation
external_company,faces,regulation
organization,faces,litigation
organization,faces,regulation
organization,faces,risk_factor
person,faces,litigation
commentary,guides_on,economic_indicator
commentary,guides_on,esg_topic
commentary,guides_on,macro_condition
commentary,guides_on,metric
organization,has_stake,external_company
organization,has_stake,instrument
organization,has_stake,segment
external_company,impacted_by,event
instrument,impacted_by,economic_indicator
instrument,impacted_by,event
instrument,impacted_by,macro_condition
market,impacted_by,event
metric,impacted_by,economic_indicator
metric,impacted_by,event
metric,impacted_by,litigation
metric,impacted_by,macro_condition
metric,impacted_by,regulation
metric,impacted_by,risk_factor
organization,impacted_by,economic_indicator
organization,impacted_by,event
organization,impacted_by,litigation
organization,impacted_by,macro_condition
organization,impacted_by,regulation
organization,impacted_by,risk_factor
product,impacted_by,economic_indicator
product,impacted_by,event
product,impacted_by,litigation
product,impacted_by,macro_condition
product,impacted_by,risk_factor
segment,impacted_by,economic_indicator
segment,impacted_by,event
segment,impacted_by,macro_condition
segment,impacted_by,risk_factor
accounting_policy,impacts,metric
commentary,impacts,metric
concept,impacts,market
concept,impacts,metric
concept,impacts,organization
economic_indicator,impacts,market
economic_indicator,impacts,metric
economic_indicator,impacts,organization
esg_topic,impacts,metric
event,impacts,market
event,impacts,metric
litigation,impacts,metric
macro_condition,impacts,market
macro_condition,impacts,metric
regulation,impacts,metric
risk_factor,impacts,market
risk_factor,impacts,metric
esg_topic,improves,metric
event,improves,metric
macro_condition,improves,metric
organization,improves,market
external_company,increases,metric
metric,increases,market
organization,increases,metric
organization,introduces,accounting_policy
organization,introduces,concept
organization,introduces,esg_topic
organization,introduces,product
organization,introduces,segment
government,invests_in,external_company
organization,invests_in,esg_topic
organization,invests_in,external_company
organization,invests_in,instrument
external_company,involved_in,event
external_company,involved_in,litigation
government,involved_in,litigation
organization,involved_in,event
organization,involved_in,litigation
person,involved_in,event
market,market_reacts_to,commentary
market,market_reacts_to,economic_indicator
market,market_reacts_to,esg_topic
market,market_reacts_to,event
market,market_reacts_to,risk_factor
external_company,member_of,market
instrument,member_of,market
organization,member_of,market
external_company,operates_in,location
market,operates_in,location
organization,operates_in,location
external_company,partners_with,external_company
government,partners_with,regulator
organization,partners_with,external_company
regulator,partners_with,organization
external_company,produces,product
organization,produces,product
segment,produces,product
government,regulates,instrument
government,regulates,regulation
regulator,regulates,external_company
regulator,regulates,market
regulator,regulates,organization
accounting_policy,related_to,metric
accounting_policy,related_to,organization
accounting_policy,related_to,regulation
commentary,related_to,organization
commentary,related_to,regulation
commentary,related_to,risk_factor
concept,related_to,macro_condition
economic_indicator,related_to,macro_condition
economic_indicator,related_to,market
economic_indicator,related_to,sector
esg_topic,related_to,concept
esg_topic,related_to,sector
event,related_to,macro_condition
event,related_to,market
event,related_to,sector
external_company,related_to,sector
instrument,related_to,market
instrument,related_to,organization
instrument,related_to,sector
organization,related_to,concept
organization,related_to,external_company
organization,related_to,market
organization,related_to,regulation
organization,related_to,sector
risk_factor,related_to,macro_condition
risk_factor,related_to,regulation
risk_factor,related_to,sector
segment,related_to,organization
segment,related_to,product
segment,related_to,sector
economic_indicator,stock_decline_due_to,external_company
event,stock_decline_due_to,organization
litigation,stock_decline_due_to,organization
macro_condition,stock_decline_due_to,organization
concept,stock_rise_due_to,organization
esg_topic,stock_rise_due_to,organization
event,stock_rise_due_to,organization
external_company,subject_to,regulation
instrument,subject_to,regulation
organization,subject_to,accounting_policy
organization,subject_to,regulation
product,subject_to,regulation
segment,subject_to,accounting_policy
segment,subject_to,regulation
external_company,supplies,logistics
external_company,supplies,raw_material
organization,supplies,product
organization,supplies,segment
event,worsens,metric
litigation,worsens,metric
macro_condition,worsens,metric
risk_factor,worsens,metric
