relation,description,synonyms,examples
has_stake,ownership or equity interest,"has_stake_in, owns, holds, has_equity, investment","(organization,has_stake,segment);(organization,has_stake,external_company)"
announces,publicly communicates something,"announces, declares, offer, development","(organization,announces,product);(organization,announces,event)"
operates_in,operational presence in a location,"operates_in, active_in, locatedin, haslocation","(organization,operates_in,location)"
introduces,introduces or implements something new,"introduces, implements, change, development","(organization,introduces,accounting_policy);(organization,introduces,product)"
produces,manufactures or develops a product,"produces, develops, manufactures","(organization,produces,product)"
regulates,regulatory oversight relation,"regulates, oversees, subjectto","(regulator,regulates,organization)"
involved_in,participation in an event or litigation,"involved_in, participates_in, hasparticipant","(organization,involved_in,event);(external_company,involved_in,litigation)"
impacted_by,entity is affected by an event,"impacted_by, affected_by, influenced_by, affect","(organization,impacted_by,event)"
impacts,broad influence on outcomes,"impacts, affects, affect, has_effect","(event,impacts,metric);(macro_condition,impacts,metric)"
improves,positive contribution,"positively_impacts, boosts, increases, effectiveness","(esg_topic,improves,metric)"
worsens,negative contribution,"negatively_impacts, harms, decreases, cost","(risk_factor,worsens,metric)"
related_to,generic connection as fallback,"related_to, associated_with, inclusion, definition","(concept,related_to,product)"
member_of,affiliation or index membership,"member_of, constituent_of, partof, inclusion","(external_company,member_of,market)"
invests_in,allocates capital or investment,"invests_in, funds, backs, investment, finance","(organization,invests_in,external_company)"
increases,increase in value or activity,"increases, raises, grows, variation","(organization,increases,metric)"
decreases,decrease in value or activity,"decreases, lowers, reduces, variation","(organization,decreases,metric)"
depends_on,dependency or reliance,"depends_on, relies_on, requires","(organization,depends_on,raw_material)"
causes_shortage,supply constraint driven by event/condition,"causes_shortage_of, triggers_shortage_of","(event,causes_shortage,raw_material)"
affects_stock,affects stock price or valuation,"affects_stock, moves_stock, influences_stock","(risk_factor,affects_stock,organization)"
stock_decline_due_to,factor causing stock decline,"stock_decline_due_to, decline_due_to","(macro_condition,stock_decline_due_to,organization)"
stock_rise_due_to,factor causing stock rise,"stock_rise_due_to, rise_due_to","(esg_topic,stock_rise_due_to,organization)"
market_reacts_to,market response to event/disclosure,"market_reacts_to, reacts_to, perception","(market,market_reacts_to,event)"
discloses,reveals or reports information,"discloses, reports, states, definition","(organization,discloses,metric);(organization,discloses,risk_factor)"
faces,encounters legal or regulatory challenges,"faces, confronts, subject_of","(organization,faces,litigation);(organization,faces,regulation)"
guides_on,management guidance or forecast,"guides_on, provides_guidance_on, expects, timing","(commentary,guides_on,metric)"
complies_with,meets regulatory requirement,"complies_with, adheres_to, conforms_to","(organization,complies_with,regulation)"
subject_to,governed or constrained by,"subject_to, governed_by, subjectto","(organization,subject_to,accounting_policy)"
supplies,supplier relationship,"supplies, provides_to, delivers, offer","(external_company,supplies,raw_material)"
partners_with,strategic collaboration,"partners_with, collaborates_with, teams_with, related_to","(organization,partners_with,external_company)"
