dataset,rows,method,prompt_tokens,completion_tokens,total_tokens,prompt_per_row,completion_per_row,total_per_row
FinReflextKG,477,DHTW,1859609,225480,2085089,3898.55,472.70,4371.26
FinReflextKG,477,Docs2kg_back,5839029,652701,6491730,12241.15,1368.35,13609.50
FinReflextKG,477,Docs2kg_our,5653262,646917,6300179,11851.70,1356.22,13207.92
FinReflextKG,477,EDC,596087,269808,865895,1249.66,565.64,1815.29
chemport,1020,DHTW,5563184,529135,6092319,5454.10,518.76,5972.86
chemport,1020,Docs2kg_back,11314487,1053089,12367576,11092.63,1032.44,12125.07
chemport,1020,Docs2kg_our,11294775,1064253,12359028,11073.31,1043.39,12116.69
chemport,1020,EDC,2142252,740236,2882488,2100.25,725.72,2825.97
drugport,750,DHTW,3526300,346198,3872498,4701.73,461.60,5163.33
drugport,750,DHTW_chem_drug,3654488,404564,4059052,4872.65,539.42,5412.07
drugport,750,DHTW_drug_chem,4750678,469368,5220046,6334.24,625.82,6960.06
drugport,750,Docs2kg_back,8343095,807875,9150970,11124.13,1077.17,12201.29
drugport,750,Docs2kg_our,9070238,844884,9915122,12093.65,1126.51,13220.16
drugport,750,EDC,1060240,594909,1655149,1413.65,793.21,2206.87
